rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
1,World,Oceania,Australia and New Zealand,Cocos Islands,Cocos Islands,NA,NA,NA,NA
2,World,Oceania,Australia and New Zealand,Christmas Island,Christmas Island,NA,NA,NA,NA
3,World,Oceania,Australia and New Zealand,Norfolk Island,Norfolk Island,NA,NA,NA,NA
4,World,Oceania,Australia and New Zealand,Macquarie Island,Macquarie Island,NA,NA,NA,NA
5,World,Oceania,Melanesia,New Caledonia,New Caledonia,NA,NA,NA,NA
6,World,Oceania,Melanesia,Vanuatu,Vanuatu,2018,0.096984133,0.519396827,0
7,World,Oceania,Melanesia,Solomon Islands,Solomon Islands,2018,-0.215576567,0.456884687,0
8,World,Oceania,Micronesia,Palau,Palau,2018,0.289605433,0.557921087,0
9,World,Oceania,Micronesia,Micronesia,Micronesia,NA,NA,NA,NA
10,World,Oceania,Micronesia,Nauru,Nauru,2018,-0.032448317,0.493510337,0
11,World,Oceania,Micronesia,Marshall Islands,Marshall Islands,2018,-0.1342393,0.47315214,0
12,World,Oceania,Micronesia,Wake Island,Wake Island,NA,NA,NA,NA
13,World,Oceania,Micronesia,Northern Mariana Islands and Guam,Northern Mariana Islands and Guam,NA,NA,NA,NA
14,World,Asia,Eastern Asia,Taiwan,Taiwan,NA,NA,NA,NA
15,World,Asia,South-Eastern Asia,Philippines,Philippines,2018,-0.3351534,0.43296932,0
16,World,Oceania,Australia and New Zealand,Australia,Australia,2018,1.575330017,0.815066003,0
17,World,Oceania,Melanesia,Papua New Guinea,Papua New Guinea,2018,-0.5810573,0.38378854,0
18,World,Oceania,Melanesia,Fiji,Fiji,2018,0.208593067,0.541718613,0
19,World,Oceania,Polynesia,Tuvalu,Tuvalu,2018,0.311164683,0.562232937,0
20,World,Asia,Eastern Asia,South Korea,South Korea,NA,NA,NA,NA
21,World,Asia,Eastern Asia,North Korea,North Korea,2018,-1.611969267,0.177606147,0
24,World,Asia,South-Eastern Asia,Cambodia,Cambodia,2018,-0.771144467,0.345771107,0
25,World,Asia,South-Eastern Asia,Thailand,Thailand,2018,-0.27543265,0.44491347,0
26,World,Asia,South-Eastern Asia,Andaman and Nicobar,Andaman and Nicobar,NA,NA,NA,NA
28,World,Africa,Eastern Africa,Comoro Islands,Comoro Islands,NA,NA,NA,NA
29,World,Africa,Eastern Africa,Mayotte,Mayotte,NA,NA,NA,NA
30,World,Africa,Eastern Africa,Glorioso Islands,Glorioso Islands,NA,NA,NA,NA
31,World,Africa,Eastern Africa,Seychelles,Seychelles,2018,0.360793433,0.572158687,0
32,World,Africa,Eastern Africa,R_union,R_union,NA,NA,NA,NA
33,World,Africa,Eastern Africa,Juan de Nova Island,Juan de Nova Island,NA,NA,NA,NA
34,World,Africa,Eastern Africa,Bassas da India,Bassas da India,NA,NA,NA,NA
35,World,Africa,Eastern Africa,Ile Europa,Ile Europa,NA,NA,NA,NA
36,World,Africa,Eastern Africa,Ile Tromelin,Ile Tromelin,NA,NA,NA,NA
37,World,Africa,Eastern Africa,Mauritius,Mauritius,2018,0.764335217,0.652867043,0
38,World,Asia,Southern Asia,British Indian Ocean Territory,British Indian Ocean Territory,NA,NA,NA,NA
39,World,Asia,Southern Asia,Maldives,Maldives,2018,-0.496577283,0.400684543,0
40,World,Asia,Southern Asia,Sri Lanka,Sri Lanka,2018,-0.145209033,0.470958193,0
41,World,Africa,Eastern Africa,Mozambique,Mozambique,2018,-0.7794679,0.34410642,0
42,World,Africa,Eastern Africa,Madagascar,Madagascar,2018,-0.7549598,0.34900804,0
43,World,Africa,Eastern Africa,Kenya,Kenya,2018,-0.570881467,0.385823707,0
44,World,Africa,Eastern Africa,Somalia,Somalia,2018,-2.115269333,0.076946133,0
45,World,Africa,Eastern Africa,Eritrea,Eritrea,2018,-1.607151033,0.178569793,0
46,World,Africa,Eastern Africa,Djibouti,Djibouti,2018,-0.788405167,0.342318967,0
47,World,Asia,Western Asia,Yemen,Yemen,NA,NA,NA,NA
48,World,Asia,Western Asia,Oman,Oman,2018,0.139336417,0.527867283,0
49,World,Africa,Northern Africa,Sudan,Sudan,2018,-1.578974333,0.184205133,0
50,World,Asia,Western Asia,Saudi Arabia,Saudi Arabia,2018,-0.230552417,0.453889517,0
51,World,Asia,Western Asia,Kuwait,Kuwait,2018,-0.113502233,0.477299553,0
52,World,Asia,Western Asia,Bahrain,Bahrain,2018,-0.2258304,0.45483392,0
53,World,Asia,Southern Asia,Pakistan,Pakistan,2018,-0.968361633,0.306327673,0
54,World,Asia,Western Asia,United Arab Emirates,United Arab Emirates,2018,0.65914465,0.63182893,0
55,World,Europe,Southern Europe,Azores,Azores,NA,NA,NA,NA
56,World,Africa,Western Africa,Cape Verde,Cape Verde,NA,NA,NA,NA
57,World,Europe,Southern Europe,Madeira,Madeira,NA,NA,NA,NA
58,World,Europe,Southern Europe,Canary Islands,Canary Islands,NA,NA,NA,NA
59,World,Europe,Western Europe,Belgium,Belgium,2018,1.182232833,0.736446567,0
60,World,Europe,Southern Europe,Gibraltar,Gibraltar,NA,NA,NA,NA
61,World,Africa,Northern Africa,Tunisia,Tunisia,2018,-0.203575817,0.459284837,0
62,World,Africa,Northern Africa,Morocco,Morocco,2018,-0.300342067,0.439931587,0
63,World,Africa,Northern Africa,Western Sahara,Western Sahara,NA,NA,NA,NA
64,World,Africa,Western Africa,Mauritania,Mauritania,2018,-0.75875625,0.34824875,0
65,World,Africa,Western Africa,Gambia,Gambia,NA,NA,NA,NA
66,World,Africa,Western Africa,Senegal,Senegal,2018,-0.076200667,0.484759867,0
67,World,Africa,Northern Africa,Libya,Libya,2018,-1.9044645,0.1191071,0
68,World,Europe,Southern Europe,Malta,Malta,2018,1.0594933,0.71189866,0
69,World,Europe,Northern Europe,Latvia,Latvia,2018,0.7922963,0.65845926,0
70,World,Europe,Northern Europe,Estonia,Estonia,2018,1.219087967,0.743817593,0
71,World,Europe,Eastern Europe,Bulgaria,Bulgaria,2018,0.2350627,0.54701254,0
72,World,Europe,Eastern Europe,Romania,Romania,2018,0.152142983,0.530428597,0
73,World,Europe,Eastern Europe,Russia,Russia,NA,NA,NA,NA
74,World,Asia,Western Asia,Georgia,Georgia,2018,0.432257483,0.586451497,0
75,World,Europe,Eastern Europe,Ukraine,Ukraine,2018,-0.677782333,0.364443533,0
76,World,Asia,Western Asia,Turkey,Turkey,2018,-0.4762975,0.4047405,0
77,World,Asia,Western Asia,Syria,Syria,NA,NA,NA,NA
78,World,Asia,Western Asia,Lebanon,Lebanon,2018,-0.833200967,0.333359807,0
79,World,Asia,Western Asia,Israel,Israel,2018,0.659117783,0.631823557,0
80,World,Europe,Southern Europe,Greece,Greece,2018,0.278355367,0.555671073,0
81,World,Asia,Western Asia,Cyprus,Cyprus,2018,0.818842433,0.663768487,0
82,World,Europe,Southern Europe,Albania,Albania,2018,0.011809667,0.502361933,0
84,World,Africa,Northern Africa,Algeria,Algeria,2018,-0.8157032,0.33685936,0
85,World,Europe,Northern Europe,Ascension,Ascension,NA,NA,NA,NA
86,World,Europe,Northern Europe,Saint Helena,Saint Helena,NA,NA,NA,NA
88,World,Europe,Northern Europe,Tristan da Cunha,Tristan da Cunha,NA,NA,NA,NA
89,World,Southern Islands,Southern Islands,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,NA,NA,NA,NA
90,World,Southern Islands,Southern Islands,Prince Edward Islands,Prince Edward Islands,NA,NA,NA,NA
91,World,Southern Islands,Southern Islands,Crozet Islands,Crozet Islands,NA,NA,NA,NA
92,World,Southern Islands,Southern Islands,Amsterdam Island and Saint Paul Island,Amsterdam Island and Saint Paul Island,NA,NA,NA,NA
93,World,Southern Islands,Southern Islands,Kerguelen Islands,Kerguelen Islands,NA,NA,NA,NA
94,World,Southern Islands,Southern Islands,Heard and McDonald Islands,Heard and McDonald Islands,NA,NA,NA,NA
95,World,Europe,Northern Europe,Falkland Islands,Falkland Islands,NA,NA,NA,NA
