species_id,sciname,kingdom,phylum,class,tot_count_cells,num_countries,xbd
Biv-32126,Corbicula japonica,Animalia,Mollusca,Bivalvia,6268,8,transboundary
Bra-235673,Dyscritosia secreta,Animalia,Brachiopoda,Articulata,100,1,singlecountry
Brc-378165,Lightiella floridana,Animalia,Arthropoda,Cephalocarida,4138,14,transboundary
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,Lenisquilla lata,Animalia,Arthropoda,Malacostraca,54050,41,transboundary
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,Clorida albolitura,Animalia,Arthropoda,Malacostraca,94323,63,transboundary
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,Leiogalathea laevirostris,Animalia,Arthropoda,Malacostraca,201148,89,transboundary
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,Levisquilla jurichi,Animalia,Arthropoda,Malacostraca,47200,36,transboundary
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,Lophosquilla tiwarii,Animalia,Arthropoda,Malacostraca,71624,33,transboundary
Chn-12f493b8-a962-48d7-af4b-632ba9c0fa57,Capillaster multiradiatus,Animalia,Echinodermata,Crinoidea,79627,34,transboundary
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,Harpiosquilla annandalei,Animalia,Arthropoda,Malacostraca,100928,54,transboundary
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,Cloridina pelamidae,Animalia,Arthropoda,Malacostraca,66054,39,transboundary
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,Oratosquillina perpensa,Animalia,Arthropoda,Malacostraca,55508,25,transboundary
Chn-2bd2f979-5bbd-4725-93f0-c2b66a1e0a2d,Comatula pectinata,Animalia,Echinodermata,Crinoidea,57968,26,transboundary
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,Quollastria subtilis,Animalia,Arthropoda,Malacostraca,70763,59,transboundary
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,Neoacasta glans,Animalia,Arthropoda,Maxillopoda,62223,47,transboundary
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,Chorisquilla spinosissima,Animalia,Arthropoda,Malacostraca,74979,54,transboundary
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,Oratosquillina manningi,Animalia,Arthropoda,Malacostraca,18899,20,transboundary
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,Erugosquilla woodmasoni,Animalia,Arthropoda,Malacostraca,87050,57,transboundary
Chn-3953473a-c9d7-4719-9fdb-dabfd375b330,Aliaporcellana suluensis,Animalia,Arthropoda,Malacostraca,65806,53,transboundary
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,Uroptychodes spinimarginatus,Animalia,Arthropoda,Malacostraca,25166,28,transboundary
