rgn_id_2,num_spp_tb,num_spp_sc,rgn_nam_2,num_spp_tb_th,num_spp_sc_th,rgn_area_km2
1,3166,1,Cocos Islands,49,0,470116.600596
2,3225,1,Christmas Island,28,1,330035.519533
3,3488,4,Norfolk Island,52,1,432638.145983
4,1029,3,Macquarie Island,21,0,475287.098249
5,8154,45,New Caledonia,142,1,5487211.80448
6,7689,4,Vanuatu,123,0,622073.303628
7,8058,5,Solomon Islands,189,0,1609756.60808
8,7524,1,Palau,116,0,608166.958988
9,7229,3,Micronesia,153,1,3011912.45243
10,5689,0,Nauru,31,0,310565.147207
11,6969,4,Marshall Islands,110,0,2004592.5653
12,2206,0,Wake Island,33,0,409374.31828
13,4435,7,Northern Mariana Islands and Guam,90,0,976202.871961
14,8827,17,Taiwan,193,5,342997.020084
15,9431,45,Philippines,276,6,1835027.87937
16,11033,706,Australia,222,32,13913691.62518
17,9469,17,Papua New Guinea,237,4,2407382.25276
18,7974,18,Fiji,135,1,1293035.66924
19,4815,0,Tuvalu,115,0,1502551.051112
20,2820,1,South Korea,55,0,324993.775336
21,1419,0,North Korea,39,0,115967.30285
24,2450,0,Cambodia,120,0,47966.8393766
25,4571,4,Thailand,226,1,306890.518478
26,4035,4,Andaman and Nicobar,102,0,663520.443845
28,4488,1,Comoro Islands,95,0,165505.199256
29,4648,0,Mayotte,93,0,63362.3090544
30,4443,0,Glorioso Islands,87,0,43699.3838589
31,4827,5,Seychelles,105,0,1340839.38271
32,3394,4,Reunion,94,1,316498.901323
33,4558,0,Juan de Nova Island,89,0,62551.237745
34,3414,0,Bassas da India,26,0,122177.234713
35,3369,0,Ile Europa,28,0,125623.801672
36,2221,0,Ile Tromelin,21,0,271996.952725
37,4542,8,Mauritius,110,1,1280068.38699
38,4319,3,British Indian Ocean Territory,102,0,642744.718734
39,4701,5,Maldives,84,0,922110.093637
40,4720,2,Sri Lanka,133,0,534085.43874
41,5144,8,Mozambique,130,1,574409.612416
42,5169,20,Madagascar,122,4,1205824.80785
43,4771,2,Kenya,95,1,112400.455969
44,5003,1,Somalia,102,1,784501.565749
45,2176,1,Eritrea,100,0,78827.4148463
46,2386,0,Djibouti,74,0,7031.12494826
47,4357,2,Yemen,120,1,548013.942084
48,3072,21,Oman,73,3,538980.214535
49,1884,0,Sudan,94,0,66785.6409954
50,1983,3,Saudi Arabia,115,0,220338.225317
51,761,0,Kuwait,44,0,11895.8073818
52,621,0,Bahrain,44,0,7632.7802077
53,2072,2,Pakistan,69,0,222743.962262
54,1824,0,United Arab Emirates,53,0,54711.0349269
55,1689,1,Azores,39,0,957293.560796
56,1381,45,Cape Verde,43,4,801065.130069
57,1344,3,Madeira,54,1,455144.480941
58,1447,1,Canary Islands,56,0,450010.12333
59,668,0,Belgium,22,0,3465.16865703
61,1263,0,Tunisia,50,0,100660.476623
62,2046,0,Morocco,62,0,276136.420221
63,1454,0,Western Sahara,56,0,252024.28218
64,1165,0,Mauritania,56,0,156197.883429
65,1370,0,Gambia,61,0,22745.5191464
66,1556,9,Senegal,66,8,158426.406316
67,965,0,Libya,44,0,357895.373458
68,926,0,Malta,38,0,55696.6131031
69,97,0,Latvia,7,0,28879.5616489
70,95,0,Estonia,7,0,36346.3809072
71,205,0,Bulgaria,13,0,35171.8548382
72,197,0,Romania,13,0,29726.4490526
73,1815,7,Russia,52,0,22839394.88133
74,167,0,Georgia,10,0,22907.0422961
75,214,1,Ukraine,13,1,134873.157524
76,1143,0,Turkey,43,0,255925.882674
77,480,0,Syria,28,0,10203.611224
78,515,0,Lebanon,29,0,19315.8441285
79,519,1,Israel,34,0,27855.0547776
80,1244,2,Greece,45,0,494172.449687
81,509,0,Cyprus,32,0,98279.5047122
82,873,0,Albania,41,0,11199.391813
84,1322,0,Algeria,47,0,128992.992314
85,1008,9,Ascension,27,2,444512.2526
86,785,7,Saint Helena,25,1,447451.222696
88,786,1,Tristan da Cunha,28,0,755781.901791
89,1066,26,South Georgia and the South Sandwich Islands,17,0,1445884.27755
90,1242,0,Prince Edward Islands,19,0,473182.389014
91,1206,2,Crozet Islands,20,0,574392.106966
92,1104,6,Amsterdam Island and Saint Paul Island,25,0,509821.937106
93,1270,21,Kerguelen Islands,18,0,567172.356583
94,1139,0,Heard and McDonald Islands,16,0,416111.00936
95,1287,2,Falkland Islands,26,0,549091.665029
96,1391,1,Sierra Leone,52,0,160452.573952
97,1398,1,Liberia,54,0,247767.678994
98,1315,0,Togo,52,0,15521.3101546
99,1327,0,Benin,52,0,30419.2686251
100,948,1,Republique du Congo,52,0,39863.5968214
101,1278,1,Namibia,54,0,562727.622426
102,4613,111,South Africa,98,18,1069377.88035
103,1213,3,Sao Tome and Principe,40,1,131709.175374
104,1389,0,Equatorial Guinea,58,0,310365.413921
105,697,0,Bouvet Island,12,0,440224.320454
106,1391,0,Ghana,59,0,226758.07504
107,1844,8,Clipperton Island,34,5,433990.290769
108,1856,8,Bermuda,30,1,451643.081835
110,4491,13,Bahamas,69,2,597705.143015
111,3699,0,Turks and Caicos Islands,57,0,154242.059356
112,4421,2,Cuba,62,1,365755.761919
113,2161,3,Cayman Islands,50,3,119605.46592
114,3510,4,Haiti,54,0,123867.218828
115,3640,0,Dominican Republic,55,0,270774.180101
116,3906,2,Puerto Rico and Virgin Islands of the United States,60,0,212193.329439
117,3120,0,British Virgin Islands,59,0,80529.499024
118,3145,0,Anguilla,56,0,92653.5871511
119,3059,0,Saint Kitts and Nevis,50,0,10262.9031435
120,3052,0,Antigua and Barbuda,54,0,108492.416191
121,2917,0,Montserrat,50,0,7628.26523051
122,3473,0,Saint Lucia,50,0,15560.3072657
123,3303,0,Dominica,53,0,28749.1694931
124,3041,2,Barbados,50,0,185019.817783
125,3265,0,Grenada,54,0,26281.5066211
126,3021,3,Trinidad and Tobago,60,0,75798.4651196
127,3410,0,Saint Vincent and the Grenadines,51,0,36510.9524175
129,6655,28,Panama,80,9,332643.54762
130,6274,17,Costa Rica,82,8,576132.396748
131,6369,0,Nicaragua,68,0,223935.236133
132,6172,20,Colombia,89,6,730703.10229
133,4091,1,Honduras,56,0,219971.148302
134,2855,0,El Salvador,33,0,94238.049921
135,8133,174,Mexico,107,22,3284659.72318
136,5276,0,Guatemala,66,0,118336.353605
137,3889,65,Ecuador,58,29,2159836.89364
138,2546,6,Peru,51,0,2514973.087485
139,4509,9,Venezuela,68,1,473325.114899
140,3593,3,Guadeloupe and Martinique,56,1,138683.404744
141,1201,0,Faeroe Islands,24,0,266720.483433
143,1365,2,Iceland,23,0,752783.414734
144,412,0,Jan Mayen,11,0,291233.691162
145,931,0,Greenland,16,0,4528928.88022
146,758,1,Pitcairn,29,0,839476.222788
147,4355,81,French Polynesia,77,4,4795467.77549
148,3690,0,Line Group,58,0,3311931.16714
149,2763,0,Jarvis Island,33,0,318799.103938
150,3179,0,Palmyra Atoll,41,0,1059726.177735
151,3071,0,American Samoa,93,0,406815.936032
152,3307,0,Samoa,92,0,132305.567661
153,3395,3,Cook Islands,65,0,1972842.71662
154,910,2,Niue,32,1,318243.753892
155,6465,10,Tonga,78,1,668054.123398
