species_id,sciname,kingdom,phylum,class,tot_count_cells,num_eez,xbd,category,tax_group,eez_bins_2
Biv-32126,Corbicula japonica,ANIMALIA,MOLLUSCA,BIVALVIA,6268,8,transboundary,None,Invertebrate,"[3,10)"
Bra-235673,Dyscritosia secreta,ANIMALIA,BRACHIOPODA,ARTICULATA,100,1,singlecountry,None,Invertebrate,"[1,2)"
Brc-378165,Lightiella floridana,ANIMALIA,ARTHROPODA,CEPHALOCARIDA,4138,14,transboundary,None,Invertebrate,"[10,25)"
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,Lenisquilla lata,ANIMALIA,ARTHROPODA,MALACOSTRACA,54050,41,transboundary,None,Invertebrate,"[25,51)"
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,Clorida albolitura,ANIMALIA,ARTHROPODA,MALACOSTRACA,94323,63,transboundary,None,Invertebrate,"[51,221]"
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,Leiogalathea laevirostris,ANIMALIA,ARTHROPODA,MALACOSTRACA,201148,89,transboundary,None,Invertebrate,"[51,221]"
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,Levisquilla jurichi,ANIMALIA,ARTHROPODA,MALACOSTRACA,47200,36,transboundary,None,Invertebrate,"[25,51)"
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,Lophosquilla tiwarii,ANIMALIA,ARTHROPODA,MALACOSTRACA,71624,33,transboundary,None,Invertebrate,"[25,51)"
Chn-12f493b8-a962-48d7-af4b-632ba9c0fa57,Capillaster multiradiatus,ANIMALIA,ECHINODERMATA,CRINOIDEA,79627,34,transboundary,None,Invertebrate,"[25,51)"
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,Harpiosquilla annandalei,ANIMALIA,ARTHROPODA,MALACOSTRACA,100928,54,transboundary,None,Invertebrate,"[51,221]"
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,Cloridina pelamidae,ANIMALIA,ARTHROPODA,MALACOSTRACA,66054,39,transboundary,None,Invertebrate,"[25,51)"
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,Oratosquillina perpensa,ANIMALIA,ARTHROPODA,MALACOSTRACA,55508,25,transboundary,None,Invertebrate,"[25,51)"
Chn-2bd2f979-5bbd-4725-93f0-c2b66a1e0a2d,Comatula pectinata,ANIMALIA,ECHINODERMATA,CRINOIDEA,57968,26,transboundary,None,Invertebrate,"[25,51)"
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,Quollastria subtilis,ANIMALIA,ARTHROPODA,MALACOSTRACA,70763,59,transboundary,None,Invertebrate,"[51,221]"
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,Neoacasta glans,ANIMALIA,ARTHROPODA,MAXILLOPODA,62223,47,transboundary,None,Invertebrate,"[25,51)"
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,Chorisquilla spinosissima,ANIMALIA,ARTHROPODA,MALACOSTRACA,74979,54,transboundary,None,Invertebrate,"[51,221]"
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,Oratosquillina manningi,ANIMALIA,ARTHROPODA,MALACOSTRACA,18899,20,transboundary,None,Invertebrate,"[10,25)"
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,Erugosquilla woodmasoni,ANIMALIA,ARTHROPODA,MALACOSTRACA,87050,57,transboundary,None,Invertebrate,"[51,221]"
