rgn_name,num_spp_tb,num_spp_sc
abnj,7635,211
Albania,321,0
Algeria,1075,0
American Samoa,496,0
Amsterdam Island and Saint Paul Island,684,6
Andaman and Nicobar,3090,1
Angola,1430,1
Anguilla,453,0
Antigua and Barbuda,775,0
Argentina,1687,10
Aruba,468,0
Ascension,650,0
Australia,9682,375
Azores,1583,0
Bahamas,3979,0
Bahrain,9,0
Bangladesh,279,0
Barbados,719,0
Bassas da India,540,0
Belgium,1,0
Belize,3503,0
Benin,470,0
Bermuda,626,0
Bonaire,432,0
Bouvet Island,219,0
Brazil,3726,87
British Indian Ocean Territory,3720,2
British Virgin Islands,454,0
Brunei,809,0
Bulgaria,53,0
Cambodia,1525,0
Cameroon,158,0
Canada,2766,1
Canary Islands,1231,0
Cape Verde,1230,3
Cayman Islands,596,0
Chile,2390,43
China,7008,1
Christmas Island,445,0
Clipperton Island,468,0
Cocos Islands,410,0
Colombia,4902,0
Comoro Islands,623,0
Cook Islands,1898,0
Costa Rica,2688,1
Croatia,797,0
Crozet Islands,817,2
Cuba,4132,0
Curacao,464,0
Cyprus,166,0
Democratic Republic of the Congo,48,0
Denmark,699,0
disputed,8698,0
Djibouti,2,0
Dominica,583,0
Dominican Republic,2669,0
East Timor,4149,0
Ecuador,3349,30
Egypt,723,0
El Salvador,2245,0
Equatorial Guinea,899,0
Eritrea,1112,0
Estonia,29,0
Faeroe Islands,865,0
Falkland Islands,1173,2
Fiji,7078,0
Finland,30,0
France,2191,0
French Guiana,1451,0
French Polynesia,3470,31
Gabon,1063,0
Gambia,443,0
Georgia,33,0
Germany,578,0
Ghana,1266,0
Glorioso Islands,485,0
Greece,1018,2
Greenland,723,1
Grenada,804,0
Guadeloupe and Martinique,2643,0
Guatemala,1091,0
Guernsey,3,0
Guinea,1216,0
Guinea Bissau,1235,0
Guyana,2801,0
Haiti,2441,0
Heard and McDonald Islands,1009,0
Honduras,3830,0
Howland Island and Baker Island,621,0
Iceland,1280,0
Ile Europa,503,0
Ile Tromelin,403,0
India,4987,3
Indonesia,8356,3
Iran,1685,0
Ireland,1762,0
Israel,38,0
Italy,1092,0
Ivory Coast,1194,0
Jamaica,2686,0
Jan Mayen,243,0
Japan,7953,30
Jarvis Island,458,0
Jersey,4,0
Johnston Atoll,478,0
Jordan,3,0
Juan de Nova Island,656,0
Kenya,3745,0
Kerguelen Islands,1186,23
Kiribati,6434,0
Kuwait,23,0
Latvia,26,0
Lebanon,14,0
Liberia,1241,0
Libya,687,0
Line Group,2379,0
Macquarie Island,453,2
Madagascar,4503,0
Madeira,685,1
Malaysia,5729,0
Maldives,4167,0
Malta,355,0
Marshall Islands,6101,0
Mauritania,515,0
Mauritius,3385,0
Mayotte,500,0
Mexico,7417,70
Micronesia,5926,0
Montenegro,1,0
Montserrat,1,0
Morocco,1502,0
Mozambique,4369,0
Myanmar,2177,0
Namibia,1057,0
Nauru,523,0
Netherlands,601,0
New Caledonia,6942,2
New Zealand,3418,87
Nicaragua,5307,0
Nigeria,1145,0
Niue,321,0
Norfolk Island,1786,0
North Korea,862,0
Northern Mariana Islands and Guam,1863,0
Northern Saint-Martin,5,0
Norway,1256,4
Oman,2112,1
Pakistan,1159,0
Palau,3535,0
Palmyra Atoll,639,0
Panama,4630,2
Papua New Guinea,8359,0
Peru,1742,4
Philippines,7959,3
Phoenix Group,758,1
Pitcairn,389,0
Poland,43,0
Portugal,1773,0
Prince Edward Islands,785,0
Puerto Rico and Virgin Islands of the United States,2563,0
Qatar,183,0
R_union,447,0
Republique du Congo,174,0
Romania,35,0
Russia,1351,6
Saba,4,0
Saint Helena,566,0
Saint Kitts and Nevis,4,0
Saint Lucia,538,0
Saint Pierre and Miquelon,214,0
Saint Vincent and the Grenadines,786,0
Samoa,468,0
Sao Tome and Principe,525,0
Saudi Arabia,870,0
Senegal,1046,0
Seychelles,4125,1
Sierra Leone,1172,0
Sint Eustatius,3,0
Solomon Islands,6966,0
Somalia,4262,0
South Africa,3635,48
South Georgia and the South Sandwich Islands,817,27
South Korea,2061,0
Spain,2260,1
Sri Lanka,3939,0
Sudan,787,0
Suriname,2362,0
Sweden,190,0
Taiwan,7269,0
Tanzania,4199,0
Thailand,2826,0
Togo,431,0
Tokelau,453,0
Tonga,3630,0
Trinidad and Tobago,1059,0
Tristan da Cunha,743,0
Tunisia,1010,0
Turkey,787,0
Turks and Caicos Islands,1193,0
Tuvalu,3694,0
Ukraine,99,0
United Arab Emirates,543,0
United Kingdom,1688,0
United States,8869,172
Uruguay,1041,0
Vanuatu,6685,0
Venezuela,4062,0
Vietnam,6320,0
Wake Island,499,0
Wallis and Futuna,978,0
Western Sahara,1154,0
Yemen,3257,0
