rgn_name,num_spp_sc,num_spp_tb
abnj,148,11214
Amsterdam Island and Saint Paul Island,6,1182
Andaman and Nicobar,1,3650
Angola,1,1659
Argentina,8,2262
Australia,358,9993
Brazil,66,4409
British Indian Ocean Territory,2,4068
Cape Verde,3,1316
Chile,37,3074
China,1,7667
Costa Rica,1,6147
Crozet Islands,2,1221
Ecuador,29,3914
Falkland Islands,1,1276
French Polynesia,26,4094
Greece,2,1078
India,1,5653
Indonesia,1,8601
Japan,13,8425
Kerguelen Islands,18,1277
Macquarie Island,2,1025
Mexico,51,7853
New Caledonia,2,7533
New Zealand,44,4012
Norway,2,1322
Panama,2,6476
Peru,2,2529
Philippines,2,8263
Phoenix Group,1,3353
Russia,4,1841
Seychelles,1,4354
South Africa,32,4322
South Georgia and the South Sandwich Islands,26,1031
Spain,1,2478
United States,107,10906
Albania,0,714
Algeria,0,1186
American Samoa,0,2650
Anguilla,0,3030
Antigua and Barbuda,0,3011
Aruba,0,4004
Ascension,0,1194
Azores,0,1730
Bahamas,0,4220
Bahrain,0,297
Bangladesh,0,758
Barbados,0,2965
Bassas da India,0,3929
Belgium,0,585
Belize,0,3986
Benin,0,1294
Bermuda,0,2058
Bonaire,0,3723
Bouvet Island,0,706
British Virgin Islands,0,2967
Brunei,0,4552
Bulgaria,0,105
Cambodia,0,1849
Cameroon,0,504
Canada,0,3165
Canary Islands,0,1328
Cayman Islands,0,2009
Christmas Island,0,3893
Clipperton Island,0,2107
Cocos Islands,0,3231
Colombia,0,5755
Comoro Islands,0,4121
Cook Islands,0,3221
Croatia,0,1059
Cuba,0,4248
Curacao,0,4041
Cyprus,0,290
Democratic Republic of the Congo,0,763
Denmark,0,973
disputed,0,12891
Djibouti,0,1948
Dominica,0,3225
Dominican Republic,0,3522
East Timor,0,4421
Egypt,0,926
El Salvador,0,2918
Equatorial Guinea,0,1307
Eritrea,0,1761
Estonia,0,41
Faeroe Islands,0,1219
Fiji,0,7668
Finland,0,37
France,0,2342
French Guiana,0,2185
Gabon,0,1255
Gambia,0,1237
Georgia,0,86
Germany,0,736
Ghana,0,1325
Gibraltar,0,877
Glorioso Islands,0,4144
Greenland,0,859
Grenada,0,3130
Guadeloupe and Martinique,0,3520
Guatemala,0,5644
Guernsey,0,967
Guinea,0,1355
Guinea Bissau,0,1385
Guyana,0,3454
Haiti,0,3413
Heard and McDonald Islands,0,1148
Honduras,0,5786
Howland Island and Baker Island,0,5943
Iceland,0,1372
Ile Europa,0,3899
Ile Tromelin,0,2607
Iran,0,2082
Iraq,0,382
Ireland,0,1842
Israel,0,575
Italy,0,1162
Ivory Coast,0,1300
Jamaica,0,3665
Jan Mayen,0,403
Jarvis Island,0,3244
Jersey,0,1123
Johnston Atoll,0,2731
Jordan,0,327
Juan de Nova Island,0,4198
Kenya,0,4329
Kiribati,0,7099
Kuwait,0,426
Latvia,0,51
Lebanon,0,272
Liberia,0,1325
Libya,0,845
Line Group,0,3677
Lithuania,0,43
Madagascar,0,4606
Madeira,0,1206
Malaysia,0,7192
Maldives,0,4444
Malta,0,796
Marshall Islands,0,6880
Mauritania,0,851
Mauritius,0,4075
Mayotte,0,4309
Micronesia,0,6951
Monaco,0,747
Montenegro,0,700
Montserrat,0,2905
Morocco,0,1878
Mozambique,0,4468
Myanmar,0,3187
Namibia,0,1235
Nauru,0,6555
Netherlands,0,737
Nicaragua,0,6333
Nigeria,0,1282
Niue,0,944
Norfolk Island,0,3456
North Korea,0,1299
Northern Mariana Islands and Guam,0,4117
Northern Saint-Martin,0,3013
Oecussi Ambeno,0,4163
Oman,0,2748
Pakistan,0,1993
Palau,0,7157
Palmyra Atoll,0,3213
Papua New Guinea,0,8464
Pitcairn,0,771
Poland,0,49
Portugal,0,2047
Prince Edward Islands,0,1246
Puerto Rico and Virgin Islands of the United States,0,3707
Qatar,0,349
R_union,0,2870
Republique du Congo,0,837
Romania,0,106
Saba,0,3526
Saint Helena,0,885
Saint Kitts and Nevis,0,3548
Saint Lucia,0,3443
Saint Pierre and Miquelon,0,1101
Saint Vincent and the Grenadines,0,3414
Samoa,0,2733
Sao Tome and Principe,0,1202
Saudi Arabia,0,1062
Senegal,0,1385
Sierra Leone,0,1303
Singapore,0,1095
Sint Eustatius,0,3545
Sint Maarten,0,2891
Slovenia,0,447
Solomon Islands,0,7341
Somalia,0,4541
South Korea,0,2668
Sri Lanka,0,4203
Sudan,0,1207
Suriname,0,3177
Sweden,0,568
Syria,0,266
Taiwan,0,7944
Tanzania,0,4333
Thailand,0,3602
Togo,0,1292
Tokelau,0,2779
Tonga,0,6373
Trinidad and Tobago,0,2644
Tristan da Cunha,0,952
Tunisia,0,1122
Turkey,0,960
Turks and Caicos Islands,0,3692
Tuvalu,0,4531
Ukraine,0,111
United Arab Emirates,0,1770
United Kingdom,0,1856
Uruguay,0,1654
Vanuatu,0,7231
Venezuela,0,4244
Vietnam,0,7084
Wake Island,0,2565
Wallis and Futuna,0,4407
Western Sahara,0,1307
Yemen,0,3777
