species_id,sciname,kingdom,phylum,tot_count_cells,cell_count_cutoff,num_countries,xbd
Biv-32126,Corbicula japonica,Animalia,Mollusca,420,21,8,transboundary
Bra-235673,Dyscritosia secreta,Animalia,Brachiopoda,7,0.35,1,singlecountry
Brc-378165,Lightiella floridana,Animalia,Arthropoda,267,13.35,8,transboundary
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,Lenisquilla lata,Animalia,Arthropoda,2263,113.15,28,transboundary
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,Clorida albolitura,Animalia,Arthropoda,3907,195.35,38,transboundary
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,Leiogalathea laevirostris,Animalia,Arthropoda,7830,391.5,71,transboundary
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,Levisquilla jurichi,Animalia,Arthropoda,1949,97.45,18,transboundary
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,Lophosquilla tiwarii,Animalia,Arthropoda,2984,149.2,23,transboundary
Chn-12f493b8-a962-48d7-af4b-632ba9c0fa57,Capillaster multiradiatus,Animalia,Echinodermata,3288,164.4,22,transboundary
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,Harpiosquilla annandalei,Animalia,Arthropoda,4323,216.15,37,transboundary
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,Cloridina pelamidae,Animalia,Arthropoda,2831,141.55,26,transboundary
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,Oratosquillina perpensa,Animalia,Arthropoda,2485,124.25,16,transboundary
Chn-2bd2f979-5bbd-4725-93f0-c2b66a1e0a2d,Comatula pectinata,Animalia,Echinodermata,2417,120.85,18,transboundary
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,Quollastria subtilis,Animalia,Arthropoda,2935,146.75,34,transboundary
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,Neoacasta glans,Animalia,Arthropoda,2964,148.2,30,transboundary
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,Chorisquilla spinosissima,Animalia,Arthropoda,3215,160.75,32,transboundary
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,Oratosquillina manningi,Animalia,Arthropoda,893,44.65,12,transboundary
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,Erugosquilla woodmasoni,Animalia,Arthropoda,3761,188.05,36,transboundary
Chn-3953473a-c9d7-4719-9fdb-dabfd375b330,Aliaporcellana suluensis,Animalia,Arthropoda,2921,146.05,31,transboundary
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,Uroptychodes spinimarginatus,Animalia,Arthropoda,942,47.1,20,transboundary
Chn-4251039a-f032-49e7-b4d0-767e2a6b6326,Lissoporcellana quadrilobata,Animalia,Arthropoda,2869,143.45,30,transboundary
Chn-42aeac39-f607-4ee5-bce7-0294bbc61fde,Harpiosquilla raphidea,Animalia,Arthropoda,2799,139.95,27,transboundary
Chn-46f58c2c-1280-4f6a-a148-e854c19246fe,Harpilius lutescens,Animalia,Arthropoda,3039,151.95,44,transboundary
Chn-4a9f789f-84e4-4da2-b520-c754b804a303,Savignium crenatum,Animalia,Arthropoda,3833,191.65,46,transboundary
Chn-4afd695c-a184-4f35-a646-3149013fa0df,Faughnia haani,Animalia,Arthropoda,3390,169.5,25,transboundary
Chn-4bb55db1-8e3b-4bc9-abaa-a75c12d10a05,Cloridina chlorida,Animalia,Arthropoda,1872,93.6,27,transboundary
Chn-50674f31-94c6-4080-8563-c0598269f6d2,Oligometra serripinna,Animalia,Echinodermata,3145,157.25,32,transboundary
Chn-54b47037-ffc8-43f2-9240-02c68005b67f,Comatula solaris,Animalia,Echinodermata,1575,78.75,17,transboundary
Chn-57dc42d6-4e69-482a-84d4-07c811a271b5,Comaster multibrachiatus,Animalia,Echinodermata,141,7.05,6,transboundary
Chn-58fbf663-c32a-4053-b54d-872ad5bbd716,Erugosquilla grahami,Animalia,Arthropoda,1280,64,15,transboundary
Chn-5b98a280-b9a0-435b-8ed9-87b3f63fc29b,Periclimenella spinifera,Animalia,Arthropoda,4248,212.4,53,transboundary
Chn-6929b281-e864-4382-b249-e58077762c8d,Kempella mikado,Animalia,Arthropoda,3415,170.75,38,transboundary
Chn-6a9274ff-bb5b-4de5-a3d4-201629e153fe,Oratosquillina gravieri,Animalia,Arthropoda,1905,95.25,19,transboundary
Chn-718abbd7-9991-4548-92ea-32318d7e3ae0,Cervimunida princeps,Animalia,Arthropoda,1242,62.1,11,transboundary
Chn-7292168a-7e48-49d8-8b1c-01144f18309b,Prionalpheus triarticulatus,Animalia,Arthropoda,981,49.05,16,transboundary
Chn-7654496e-c4b4-480a-8684-3d9234fa4807,Strigopagurus boreonotus,Animalia,Arthropoda,2404,120.2,24,transboundary
Chn-7ac3e7f2-391a-4345-9f5b-7df40d8e9913,Porcellanella triloba,Animalia,Arthropoda,2550,127.5,18,transboundary
Chn-7f0774f3-5b42-4ba3-a812-0023f32acd55,Nobia grandis,Animalia,Arthropoda,3330,166.5,33,transboundary
Chn-7f58b835-f87e-41a2-91bb-9245ab8b9664,Striatobalanus tenuis,Animalia,Arthropoda,4532,226.6,43,transboundary
Chn-8015f4b9-d98d-4eea-960c-ecf42e0e3eb4,Cloridina verrucosa,Animalia,Arthropoda,3603,180.15,29,transboundary
Chn-82852781-608a-4506-a2fb-97671317e21d,Carinosquilla carinata,Animalia,Arthropoda,2328,116.4,28,transboundary
Chn-8980a45f-d7dd-4f06-9dfb-9bb28ae994ac,Levisquilla inermis,Animalia,Arthropoda,3011,150.55,20,transboundary
Chn-89c7a40d-e85d-4708-864b-4c0f155cbe9f,Harpiosquilla japonica,Animalia,Arthropoda,1905,95.25,14,transboundary
Chn-8cc778cc-b690-4f20-900d-5c6e34860c1b,Gelastocaris paronae,Animalia,Arthropoda,3318,165.9,36,transboundary
Chn-8e285e99-84b2-4d54-b966-a6e88108a5a5,Allogalathea elegans,Animalia,Arthropoda,4420,221,42,transboundary
Chn-8fe3ea49-27ab-42eb-a532-672122ccd637,Sinosquilla sinica,Animalia,Arthropoda,1373,68.65,19,transboundary
Chn-910529e8-a14d-4b88-9726-ed72edac0bd6,Savignium dentatum,Animalia,Arthropoda,1978,98.9,21,transboundary
