rgn_name,num_spp_sc,num_spp_tb
abnj,31,1232
Amsterdam Island and Saint Paul Island,1,191
Andaman and Nicobar,3,1302
Angola,24,791
Argentina,2,468
Aruba,1,1084
Ascension,9,357
Australia,433,2859
Azores,1,539
Bahamas,12,1381
Barbados,2,969
Belize,8,1143
Bermuda,8,440
Brazil,65,1135
British Indian Ocean Territory,2,1118
Cape Verde,43,741
Cayman Islands,3,877
Chile,50,559
China,12,1557
Christmas Island,1,258
Clipperton Island,8,213
Cocos Islands,1,750
Colombia,19,1924
Comoro Islands,1,1276
Cook Islands,3,910
Costa Rica,16,1729
Croatia,1,411
Cuba,2,1277
Curacao,2,536
disputed,1,3575
Ecuador,56,926
Egypt,5,1308
Eritrea,1,1102
Falkland Islands,3,200
Fiji,19,1676
France,1,765
French Polynesia,60,1101
Guadeloupe and Martinique,1,1086
Guinea,1,839
Haiti,4,1119
Honduras,1,1170
Iceland,2,277
India,11,1778
Indonesia,79,3162
Ireland,1,509
Israel,1,354
Italy,2,546
Japan,60,2500
Kenya,2,1422
Kerguelen Islands,3,126
Liberia,1,803
Macquarie Island,1,132
Madagascar,26,1553
Madeira,3,691
Maldives,5,1194
Marshall Islands,3,1309
Mauritius,8,1347
Mexico,159,2136
Micronesia,3,1551
Mozambique,8,1683
Myanmar,4,1605
Namibia,1,651
New Caledonia,43,1975
New Zealand,80,676
Nigeria,2,794
Niue,2,291
Norfolk Island,4,585
Northern Mariana Islands and Guam,6,1229
Oman,21,1067
Pakistan,2,758
Panama,28,1843
Papua New Guinea,16,2558
Peru,5,755
Philippines,45,2758
Pitcairn,1,235
R_union,4,1206
Republique du Congo,1,721
Russia,3,553
Saint Helena,7,335
Samoa,1,1247
Sao Tome and Principe,5,639
Saudi Arabia,3,1203
Senegal,9,974
Seychelles,5,1375
Sierra Leone,2,826
Solomon Islands,5,2063
Somalia,2,1481
South Africa,93,1399
South Georgia and the South Sandwich Islands,1,119
Spain,2,858
Sri Lanka,2,1543
Taiwan,16,2323
Tanzania,2,1452
Thailand,4,1948
Tonga,11,1257
Trinidad and Tobago,3,1229
Tristan da Cunha,1,218
United States,146,2358
Vanuatu,4,1728
Venezuela,9,1369
Vietnam,1,1772
Wallis and Futuna,1,1106
Yemen,2,1467
"",0,2
Albania,0,380
Algeria,0,460
American Samoa,0,1225
Anguilla,0,1037
Antigua and Barbuda,0,1018
Bahrain,0,443
Bangladesh,0,665
Bassas da India,0,305
Belgium,0,178
Benin,0,686
Bonaire,0,503
Bouvet Island,0,84
British Virgin Islands,0,1086
Brunei,0,1665
Bulgaria,0,165
Cambodia,0,1240
Cameroon,0,699
Canada,0,701
Canary Islands,0,807
Crozet Islands,0,136
Cyprus,0,339
Democratic Republic of the Congo,0,684
Denmark,0,238
Djibouti,0,1036
Dominica,0,1001
Dominican Republic,0,1148
East Timor,0,2141
El Salvador,0,799
Equatorial Guinea,0,806
Estonia,0,105
Faeroe Islands,0,258
Finland,0,100
French Guiana,0,845
Gabon,0,794
Gambia,0,880
Georgia,0,140
Germany,0,227
Ghana,0,804
Glorioso Islands,0,1163
Greece,0,465
Greenland,0,201
Grenada,0,1061
Guatemala,0,1472
Guernsey,0,245
Guinea Bissau,0,865
Guyana,0,884
Heard and McDonald Islands,0,102
Howland Island and Baker Island,0,279
Ile Europa,0,304
Ile Tromelin,0,250
Iran,0,783
Iraq,0,8
Ivory Coast,0,789
Jamaica,0,1049
Jan Mayen,0,51
Jarvis Island,0,293
Jersey,0,238
Johnston Atoll,0,289
Juan de Nova Island,0,1224
Kiribati,0,1169
Kuwait,0,478
Latvia,0,96
Lebanon,0,322
Libya,0,395
Line Group,0,815
Lithuania,0,51
Malaysia,0,2526
Malta,0,344
Mauritania,0,891
Mayotte,0,1233
Montenegro,0,324
Montserrat,0,961
Morocco,0,900
Nauru,0,288
Netherlands,0,239
Nicaragua,0,1718
North Korea,0,351
Northern Saint-Martin,0,966
Norway,0,294
Oecussi Ambeno,0,332
Palau,0,1659
Palmyra Atoll,0,694
Phoenix Group,0,941
Poland,0,105
Portugal,0,737
Prince Edward Islands,0,143
Puerto Rico and Virgin Islands of the United States,0,1247
Qatar,0,483
Romania,0,174
Saba,0,996
Saint Kitts and Nevis,0,952
Saint Lucia,0,986
Saint Pierre and Miquelon,0,271
Saint Vincent and the Grenadines,0,993
Singapore,0,14
Sint Eustatius,0,462
South Korea,0,645
Sudan,0,1009
Suriname,0,868
Sweden,0,213
Syria,0,284
Togo,0,684
Tokelau,0,284
Tunisia,0,473
Turkey,0,468
Turks and Caicos Islands,0,998
Tuvalu,0,1196
Ukraine,0,184
United Arab Emirates,0,664
United Kingdom,0,539
Uruguay,0,479
Wake Island,0,230
Western Sahara,0,835
