iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,cell_cutoff,num_countries,xbd
222,Acipenser brevirostrum,ANIMALIA,CHORDATA,VU,4386,219.3,2,transboundary
224,Acipenser naccarii,ANIMALIA,CHORDATA,CR,1083,54.15,4,transboundary
225,Acipenser nudiventris,ANIMALIA,CHORDATA,CR,1396,69.8,6,transboundary
229,Acipenser stellatus,ANIMALIA,CHORDATA,CR,2813,140.65,10,transboundary
230,Acipenser sturio,ANIMALIA,CHORDATA,CR,16782,839.1,28,transboundary
232,Acipenser gueldenstaedtii,ANIMALIA,CHORDATA,CR,1611,80.55,6,transboundary
245,Acipenser oxyrinchus,ANIMALIA,CHORDATA,NT,9142,457.1,2,transboundary
907,Alosa immaculata,ANIMALIA,CHORDATA,VU,56,2.8,3,transboundary
908,Alosa alabamae,ANIMALIA,CHORDATA,DD,52,2.6,1,singlecountry
1308,Anisotremus moricandi,ANIMALIA,CHORDATA,LC,2624,131.2,6,transboundary
1793,Aonyx capensis,ANIMALIA,CHORDATA,NT,1000,50,14,transboundary
2055,Arctocephalus australis,ANIMALIA,CHORDATA,LC,15908,795.4,6,transboundary
2057,Arctocephalus galapagoensis,ANIMALIA,CHORDATA,EN,1071,53.55,1,singlecountry
2058,Arctocephalus gazella,ANIMALIA,CHORDATA,LC,175349,8767.45,8,transboundary
2059,Arctocephalus philippii,ANIMALIA,CHORDATA,LC,38095,1904.75,4,transboundary
2060,Arctocephalus pusillus,ANIMALIA,CHORDATA,LC,11030,551.5,4,transboundary
2061,Arctocephalus townsendi,ANIMALIA,CHORDATA,LC,13001,650.05,3,transboundary
2062,Arctocephalus tropicalis,ANIMALIA,CHORDATA,LC,134097,6704.85,8,transboundary
2352,Atherina boyeri,ANIMALIA,CHORDATA,LC,13064,653.2,33,transboundary
2467,Balaena mysticetus,ANIMALIA,CHORDATA,LC,24876,1243.8,2,transboundary
2468,Balaena mysticetus,ANIMALIA,CHORDATA,LR/cd,25842,1292.1,4,transboundary
2469,Balaena mysticetus,ANIMALIA,CHORDATA,EN,5511,275.55,1,singlecountry
2472,Balaena mysticetus,ANIMALIA,CHORDATA,EN,32457,1622.85,6,transboundary
2474,Balaenoptera acutorostrata,ANIMALIA,CHORDATA,LC,3467721,173386.05,199,transboundary
2475,Balaenoptera borealis,ANIMALIA,CHORDATA,EN,3160251,158012.55,172,transboundary
