iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,num_countries,xbd
222,Acipenser brevirostrum,ANIMALIA,CHORDATA,VU,4386,2,transboundary
224,Acipenser naccarii,ANIMALIA,CHORDATA,CR,1083,5,transboundary
225,Acipenser nudiventris,ANIMALIA,CHORDATA,CR,1396,6,transboundary
229,Acipenser stellatus,ANIMALIA,CHORDATA,CR,2813,11,transboundary
230,Acipenser sturio,ANIMALIA,CHORDATA,CR,16782,30,transboundary
232,Acipenser gueldenstaedtii,ANIMALIA,CHORDATA,CR,1611,6,transboundary
245,Acipenser oxyrinchus,ANIMALIA,CHORDATA,NT,9142,2,transboundary
907,Alosa immaculata,ANIMALIA,CHORDATA,VU,56,3,transboundary
908,Alosa alabamae,ANIMALIA,CHORDATA,DD,52,1,singlecountry
1308,Anisotremus moricandi,ANIMALIA,CHORDATA,LC,2624,9,transboundary
1793,Aonyx capensis,ANIMALIA,CHORDATA,NT,1000,18,transboundary
2055,Arctocephalus australis,ANIMALIA,CHORDATA,LC,15908,6,transboundary
2057,Arctocephalus galapagoensis,ANIMALIA,CHORDATA,EN,1071,1,singlecountry
2058,Arctocephalus gazella,ANIMALIA,CHORDATA,LC,175349,8,transboundary
2059,Arctocephalus philippii,ANIMALIA,CHORDATA,LC,38095,4,transboundary
2060,Arctocephalus pusillus,ANIMALIA,CHORDATA,LC,11030,4,transboundary
2061,Arctocephalus townsendi,ANIMALIA,CHORDATA,LC,13001,3,transboundary
2062,Arctocephalus tropicalis,ANIMALIA,CHORDATA,LC,134097,8,transboundary
2352,Atherina boyeri,ANIMALIA,CHORDATA,LC,13064,36,transboundary
2467,Balaena mysticetus,ANIMALIA,CHORDATA,LC,24876,2,transboundary
2468,Balaena mysticetus,ANIMALIA,CHORDATA,LR/cd,25842,4,transboundary
2469,Balaena mysticetus,ANIMALIA,CHORDATA,EN,5511,2,transboundary
2472,Balaena mysticetus,ANIMALIA,CHORDATA,EN,32457,7,transboundary
2474,Balaenoptera acutorostrata,ANIMALIA,CHORDATA,LC,3467721,206,transboundary
2475,Balaenoptera borealis,ANIMALIA,CHORDATA,EN,3160251,175,transboundary
2476,Balaenoptera edeni,ANIMALIA,CHORDATA,LC,2240914,157,transboundary
2477,Balaenoptera musculus,ANIMALIA,CHORDATA,EN,3431555,187,transboundary
2478,Balaenoptera physalus,ANIMALIA,CHORDATA,VU,2061518,93,transboundary
2480,Balaenoptera bonaerensis,ANIMALIA,CHORDATA,NT,1735855,58,transboundary
2621,Bathygobius burtoni,ANIMALIA,CHORDATA,EN,182,6,transboundary
2636,Bathyraja abyssicola,ANIMALIA,CHORDATA,DD,14310,7,transboundary
2644,Batrachoides manglae,ANIMALIA,CHORDATA,LC,864,3,transboundary
2762,Berardius arnuxii,ANIMALIA,CHORDATA,DD,1052050,19,transboundary
2763,Berardius bairdii,ANIMALIA,CHORDATA,DD,227555,10,transboundary
2895,Bostrychus zonatus,ANIMALIA,CHORDATA,DD,346,4,transboundary
3381,Butis butis,ANIMALIA,CHORDATA,LC,25175,27,transboundary
3590,Callorhinus ursinus,ANIMALIA,CHORDATA,VU,169371,9,transboundary
3764,Canthigaster rapaensis,ANIMALIA,CHORDATA,EN,9,1,singlecountry
3778,Caperea marginata,ANIMALIA,CHORDATA,LC,724852,22,transboundary
3851,Carcharhinus limbatus,ANIMALIA,CHORDATA,NT,111808,137,transboundary
3852,Carcharhinus obscurus,ANIMALIA,CHORDATA,VU,137873,81,transboundary
3853,Carcharhinus plumbeus,ANIMALIA,CHORDATA,VU,101741,105,transboundary
3854,Carcharias taurus,ANIMALIA,CHORDATA,VU,109683,71,transboundary
3855,Carcharodon carcharias,ANIMALIA,CHORDATA,VU,2777387,193,transboundary
3897,Caretta caretta,ANIMALIA,CHORDATA,VU,1227466,90,transboundary
4131,Centropyge resplendens,ANIMALIA,CHORDATA,LC,4,1,singlecountry
4159,Cephalorhynchus commersonii,ANIMALIA,CHORDATA,LC,3702,4,transboundary
4160,Cephalorhynchus eutropia,ANIMALIA,CHORDATA,NT,2114,2,transboundary
4161,Cephalorhynchus heavisidii,ANIMALIA,CHORDATA,NT,1445,3,transboundary
4162,Cephalorhynchus hectori,ANIMALIA,CHORDATA,EN,936,1,singlecountry
4292,Cetorhinus maximus,ANIMALIA,CHORDATA,VU,1345388,86,transboundary
4360,Chaetodon flavocoronatus,ANIMALIA,CHORDATA,LC,46,1,singlecountry
