assessmentId,scientificName,internalTaxonId,AOO.range,EOO.range,DepthLower.limit,DepthUpper.limit,Congregatory.value,NoThreats.noThreats,ElevationLower.limit,ElevationUpper.limit,PopulationSize.range,ThreatsUnknown.value,LocationsNumber.range,GenerationLength.range,MovementPatterns.pattern,SubpopulationNumber.range,AreaRestricted.isRestricted,CropWildRelative.isRelative,YearOfPopulationEstimate.value,InPlaceEducationControlled.value,SevereFragmentation.isFragmented,InPlaceResearchRecoveryPlan.value,InPlaceLandWaterProtectionInPA.value,InPlaceSpeciesManagementExSitu.value,InPlaceResearchMonitoringScheme.value,InPlaceEducationSubjectToPrograms.value,InPlaceSpeciesManagementHarvestPlan.value,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceEducationInternationalLegislation.value,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceLandWaterProtectionPercentProtected.value
2365291,Rhincodon typus,19488,,,1928,0,,,,,,,,25,Full Migrant,,,,,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Not Applicable,"Yes, over part of range",
2382480,Squalus suckleyi,195488,,,1236,0,,,,,,,,51,,,,,,No,,No,Yes,No,Yes,Yes,Yes,Yes,No,Not Applicable,"Yes, over part of range",
2995045,Pseudotriakis microdon,44566,,,1890,100,,,,,,,,,,,,,,No,,No,Unknown,,No,No,No,No,No,Not Applicable,No,
3088899,Harriotta raleighana,60140,,,2600,350,,,,,,,,,,,,,,No,,No,Unknown,No,No,No,No,No,No,Not Applicable,No,
3093076,Euprotomicrus bispinatus,60210,,,1500,0,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
3093223,Isistius plutodus,60212,,,200,60,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
5397948,Amblyraja robertsi,161322,,,1350,1150,,,,,,,,,,,,,,,No,,,,,,,,,,,
5404947,Potamotrygon falkneri,161353,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5406692,Potamotrygon marinae,161362,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5407163,Potamotrygon schroederi,161365,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5420694,Raja undulata,161425,,,200,1,,,,,,,,,,,,,,,No,,,,,,,,,,"Yes, over entire range",
5430818,Potamotrygon signata,161467,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5454975,Potamotrygon castexi,161572,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5455121,Potamotrygon yepezi,161573,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5463698,Potamotrygon orbignyi,161609,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5474126,Potamotrygon histrix,161657,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5480430,Potamotrygon brachyura,161687,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
5481210,Raja brachyura,161691,,,300,10,,,,,,,,,,,,,,,No,,,,,,,,,,,
5483728,Plesiotrygon iwamae,161699,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
6002398,Potamotrygon constellata,165302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002531,Potamotrygon ocellata,165303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10225571,Raja microocellata,39400,,,100,1,,,,,,,,,,,,,,,No,,,,,,,,,,,
10225965,Potamotrygon henlei,39402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10226461,Potamotrygon motoro,39404,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
10911457,Potamotrygon schuemacheri,44593,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
10911875,Potamotrygon scobina,44594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12473706,Rostroraja alba,61408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12623141,Raja montagui,63146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14134317,Dipturus canutus,14134315,,,1050,155,,,,,,,,12,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
16527984,Raja radula,161339,,,350,0,,,,,,,,9,Not a Migrant,,,,,No,,No,No,No,No,No,No,No,No,No,No,0
42566212,Aetobatus ocellatus,42566169,,,60,0,,,,,,,,12,,,,,,Yes,,No,Yes,No,No,No,No,Yes,No,Not Applicable,"Yes, over part of range",
43270336,Trygonorrhina dumerilii,43270317,,,205,30,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
43270478,Trygonorrhina fasciata,41866,,,100,0,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,No,No,
48908629,Dipturus oxyrinchus,63100,,,900,90,,,,,,,,10,,,,,,,,,,,,,,,,,"Yes, over part of range",
48908962,Neoraja caerulea,161666,,,1260,600,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,
48910425,Raja polystigma,161673,,,633,20,,,,,,,,,,,,,,,No,,,,,,,,,,,
48912976,Neoraja iberica,161383,,,670,270,,,,,,,,,,,,,,,,,,,,,,,,,,
48913317,Raja asterias,63120,,,343,0,,,,,,,,6,,,,,,,,,,,,,,,,,"Yes, over part of range",
48917872,Malacoraja kreffti,63125,,,1500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
48919432,Hydrolagus lusitanicus,161475,,,2410,1600,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,
48925828,Apristurus aphyodes,44207,,,1800,1014,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,
48927468,Dipturus nidarosiensis,161729,,,1000,200,,,,,,,,10,,,,,,,No,,,,,,,,,,,
48938639,Leucoraja fullonica,161461,,,800,30,,,,,,,,9.7,,,,,,,No,,,,,,,,,,"Yes, over part of range",
48938919,Leucoraja circularis,161464,,,800,50,,,,,,,,9.7,,,,,,,No,,,,,,,,,,,
48939762,Raja maderensis,161459,,,150,150,,,,,,,,,,,,,,,No,,,,,,,,,,,
48941031,Galeus murinus,161705,,,1250,380,,,,,,,,,,,,,,,No,,,,,,,,,,,
48949434,Leucoraja naevus,161626,,,500,20,,,,,,,,,,,,,,,No,,,,,,,,,,"Yes, over part of range",
48953087,Rajella kukujevi,161622,,,1500,775,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,
48954483,Leucoraja melitensis,61405,,,800,60,,,,,,,,4-5,,,,,,,,,Unknown,,,,,,,,,
58433303,Potamotrygon tigrina,58431796,,1500,,,,,,,,,2-5,,,,,,,,,,Unknown,,,,,,,,No,
61472512,Potamotrygon magdalenae,161385,,,,,,,,,,,,,,,,,,,No,,Unknown,,,,,,,,No,
68607458,Aetomylaeus nichofii,84784918,,,115,5,,,,,,,,10,,,,,,No,,No,Unknown,No,No,No,No,No,No,Not Applicable,No,
68607665,Aetomylaeus vespertilio,60121,,,110,0,,,,,,,,15,,,,,,No,,No,Unknown,No,No,No,No,No,No,Not Applicable,No,
68608464,Amblyraja hyperborea,63119,,,2500,260,,,,,,,,,,,,,,Yes,,No,Unknown,No,Yes,No,Yes,No,No,Not Applicable,No,
68608640,Apristurus albisoma,41718,,,1564,935,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
68608709,Apristurus ampliceps,42701,,,1500,840,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68608866,Apristurus bucephalus,42703,,,1140,920,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
68608927,Apristurus longicephalus,44217,,,1140,500,,,,,,,,,,,,,,No,,No,Unknown,No,No,No,No,No,No,Not Applicable,No,
68609037,Aptychotrema rostrata,161596,,,220,0,,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68609203,Aptychotrema timorensis,60179,,18000,124,124,,,,,,,1-9,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
68609294,Aptychotrema vincentiana,44186,,,125,0,Congregatory (and dispersive),,,,,,,,Unknown,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68609365,Asymbolus analis,41720,,,200,200,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68609457,Asymbolus funebris,41721,,,145,145,,true,,,,,,,,,,,,No,,No,Unknown,No,No,No,No,No,No,Not Applicable,No,
68609519,Asymbolus occiduus,41722,,,400,98,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68609592,Asymbolus pallidus,41723,,,400,225,,true,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68609648,Asymbolus parvus,41724,,,360,160,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68609711,Asymbolus rubiginosus,41725,,,540,25,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68609812,Asymbolus submaculatus,41726,,,200,30,,true,,,,,,,,,,,,,,,,,,,,,,,,
68609873,Asymbolus vincenti,41727,,,220,100,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68609954,Atelomycterus fasciatus,41728,,,122,27,,,,,,,,,Unknown,,,,,No,,No,Yes,No,No,No,No,No,No,,No,
68610061,Atelomycterus macleayi,41729,,,60,0,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,No,No,
68610162,Atelomycterus marnkalha,161434,,,74,11,,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68610330,Aulohalaelurus labiosus,41731,,,4,0,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68610422,Bathyraja ishiharai,161387,,,2300,2300,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,
68610594,Brachaelurus colcloughi,39335,,,217,4,,,,,9999,,,15.5,,1,,,,No,No,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68610784,Brachaelurus waddi,41732,,,140,0,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68610885,Bythaelurus incanus,44171,,,1000,900,,,,,,true,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
68610951,Callorhinchus milii,41743,,,200,0,,,,,,,,,,,,,,No,,No,Yes,No,Yes,No,Yes,No,No,Not Applicable,"Yes, over entire range",
68615179,Centrophorus westraliensis,195485,,,750,616,,,,,,,,,,,,,,No,,No,Unknown,No,No,No,No,No,No,Not Applicable,No,
68615996,Cephaloscyllium cooki,174145,,,300,225,,,,,,true,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,0
68616108,Cephaloscyllium hiscosellum,195422,,,420,294,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,,"Yes, over part of range",
68616196,Cephaloscyllium laticeps,41753,,,60,0,,,,,,,,,,,,,,No,Unknown,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68616304,Cephaloscyllium signourum,181361,,,700,480,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,Not Applicable,No,
68616428,Cephaloscyllium speccum,42710,,,455,150,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,,"Yes, over part of range",
68616652,Cephaloscyllium zebrum,42709,,,454,444,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68616745,Chiloscyllium punctatum,41872,,,85,0,,,,,,,,9.5,,,,,,,,No,Yes,,No,,,No,,Not Applicable,No,
68616928,Chimaera argiloba,195427,,,520,370,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68617075,Chimaera fulva,195429,,,1095,200,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,"Yes, over part of range",
68617238,Chimaera lignaria,60185,,,1800,400,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68617345,Chimaera macrospina,195430,,,1300,435,,,,,,,,,,,,,,No,,No,Yes,No,No,No,No,No,No,Not Applicable,No,
68617785,Chlamydoselachus anguineus,41794,,,1500,50,,,,,,,,,,,,,,No,,No,Yes,No,No,No,Yes,No,No,Not Applicable,No,
