am_sid,am_spec_code,genus,species,f_bname,am_sciname
W-Por-170734,139407,Aaptos,duchassaingi,NA,Aaptos duchassaingi
W-Por-170741,130708,Aaptos,pernucleata,NA,Aaptos pernucleata
W-Iso-258623,10214,Aatolana,rapax,NA,Aatolana rapax
W-Iso-258624,10215,Aatolana,schioedtei,NA,Aatolana schioedtei
Fis-156671,62612,Abalistes,filamentosus,NA,Abalistes filamentosus
Fis-53544,9,Abalistes,stellaris,Starry triggerfish,Abalistes stellaris
Fis-142700,58334,Abalistes,stellatus,NA,Abalistes stellatus
W-Hyd-117870,43023,Abietinaria,abietina,sea fir,Abietinaria abietina
W-Hyd-285367,76817,Abietinaria,immersa,NA,Abietinaria immersa
W-Hyd-231588,94042,Abietinella,operculata,NA,Abietinella operculata
Fis-58566,25701,Ablabys,macracanthus,Spiny waspfish,Ablabys macracanthus
Fis-27725,10232,Ablabys,taenianotus,Cockatoo waspfish,Ablabys taenianotus
Fis-22975,972,Ablennes,hians,Flat needlefish,Ablennes hians
W-Msc-293683,47996,Abra,aequalis,Atlantic abra,Abra aequalis
W-Msc-141433,47999,Abra,alba,white furrow shell,Abra alba
W-Msc-156730,47997,Abra,lioica,smooth abra,Abra lioica
W-Msc-341825,57120,Abralia,andamanica,NA,Abralia andamanica
W-Msc-341828,57612,Abralia,astrosticta,NA,Abralia astrosticta
W-Msc-341831,57657,Abralia,heminuchalis,Cephalopods,Abralia heminuchalis
W-Msc-139688,57421,Abralia,veranyi,eye-flash squid,Abralia veranyi
SLB-71490,57417,Abraliopsis,felis,NA,Abraliopsis felis
SLB-71492,57376,Abraliopsis,hoylei,Hoyle's enope squid,Abraliopsis hoylei
SLB-71496,57323,Abraliopsis,pfefferi,Pfeffer's enope squid,Abraliopsis pfefferi
Fis-26241,6652,Abudefduf,abdominalis,Green damselfish,Abudefduf abdominalis
Fis-26166,6517,Abudefduf,bengalensis,Bengal sergeant,Abudefduf bengalensis
Fis-28205,11793,Abudefduf,concolor,NA,Abudefduf concolor
Fis-135703,55476,Abudefduf,conformis,NA,Abudefduf conformis
Fis-136667,55868,Abudefduf,declivifrons,Mexican nightsergeant,Abudefduf declivifrons
Fis-31491,5685,Abudefduf,lorenzi,Black-tail sergeant,Abudefduf lorenzi
Fis-28218,11820,Abudefduf,luridus,Canary damsel,Abudefduf luridus
Fis-34853,11825,Abudefduf,natalensis,Natal sergeant,Abudefduf natalensis
Fis-25761,5686,Abudefduf,notatus,Yellowtail sergeant,Abudefduf notatus
Fis-23318,1119,Abudefduf,saxatilis,Sergeant-major,Abudefduf saxatilis
Fis-25762,5687,Abudefduf,septemfasciatus,Banded sergeant,Abudefduf septemfasciatus
Fis-25763,5688,Abudefduf,sexfasciatus,Scissortail sergeant,Abudefduf sexfasciatus
Fis-25764,5689,Abudefduf,sordidus,Blackspot sergeant,Abudefduf sordidus
Fis-26803,8018,Abudefduf,sparoides,False-eye sergeant,Abudefduf sparoides
Fis-23319,1120,Abudefduf,taurus,Night sergeant,Abudefduf taurus
Fis-26922,8245,Abudefduf,troschelii,Panamic sergeant major,Abudefduf troschelii
Fis-26228,6630,Abudefduf,vaigiensis,Indo-Pacific sergeant,Abudefduf vaigiensis
Fis-33558,9626,Abudefduf,whitleyi,Whitley's sergeant,Abudefduf whitleyi
W-Hyd-196556,44647,Abyla,haeckeli,NA,Abyla haeckeli
SLB-64971,44696,Abylopsis,eschscholtzi,NA,Abylopsis eschscholtzi
W-Hyd-135403,44695,Abylopsis,tetragona,NA,Abylopsis tetragona
URM-2-2033,52610,Abyssascidia,millari,NA,Abyssascidia millari
Fis-50764,17075,Abyssobrotula,galatheae,NA,Abyssobrotula galatheae
SLB-174350,142326,Abyssorchomene,nodimanus,NA,Abyssorchomene nodimanus
SLB-174351,142327,Abyssorchomene,plebs,NA,Abyssorchomene plebs
SLB-174352,142328,Abyssorchomene,rossi,NA,Abyssorchomene rossi
W-For-556253,71956,Abyssotherma,pacifica,NA,Abyssotherma pacifica
W-Bra-235514,60468,Abyssothyris,wyvillei,NA,Abyssothyris wyvillei
NZ-5954,92899,Acaenosquilla,brazieri,NA,Acaenosquilla brazieri
