iucn_sid,sciname,category,kingdom,phylum,class
222,Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
224,Acipenser naccarii,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
225,Acipenser nudiventris,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
229,Acipenser stellatus,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
230,Acipenser sturio,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
232,Acipenser gueldenstaedtii,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
245,Acipenser oxyrinchus,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
907,Alosa immaculata,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
908,Alosa alabamae,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
1308,Anisotremus moricandi,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
1793,Aonyx capensis,NT,ANIMALIA,CHORDATA,MAMMALIA
2055,Arctocephalus australis,LC,ANIMALIA,CHORDATA,MAMMALIA
2057,Arctocephalus galapagoensis,EN,ANIMALIA,CHORDATA,MAMMALIA
2058,Arctocephalus gazella,LC,ANIMALIA,CHORDATA,MAMMALIA
2059,Arctocephalus philippii,LC,ANIMALIA,CHORDATA,MAMMALIA
2060,Arctocephalus pusillus,LC,ANIMALIA,CHORDATA,MAMMALIA
2061,Arctocephalus townsendi,LC,ANIMALIA,CHORDATA,MAMMALIA
2062,Arctocephalus tropicalis,LC,ANIMALIA,CHORDATA,MAMMALIA
2352,Atherina boyeri,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
2467,Balaena mysticetus,LC,ANIMALIA,CHORDATA,MAMMALIA
2474,Balaenoptera acutorostrata,LC,ANIMALIA,CHORDATA,MAMMALIA
2475,Balaenoptera borealis,EN,ANIMALIA,CHORDATA,MAMMALIA
2476,Balaenoptera edeni,LC,ANIMALIA,CHORDATA,MAMMALIA
2477,Balaenoptera musculus,EN,ANIMALIA,CHORDATA,MAMMALIA
2478,Balaenoptera physalus,VU,ANIMALIA,CHORDATA,MAMMALIA
2480,Balaenoptera bonaerensis,NT,ANIMALIA,CHORDATA,MAMMALIA
2621,Bathygobius burtoni,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
2636,Bathyraja abyssicola,DD,ANIMALIA,CHORDATA,CHONDRICHTHYES
2644,Batrachoides manglae,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
2762,Berardius arnuxii,DD,ANIMALIA,CHORDATA,MAMMALIA
2763,Berardius bairdii,DD,ANIMALIA,CHORDATA,MAMMALIA
2895,Bostrychus zonatus,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
3381,Butis butis,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
3590,Callorhinus ursinus,VU,ANIMALIA,CHORDATA,MAMMALIA
3764,Canthigaster rapaensis,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
3778,Caperea marginata,LC,ANIMALIA,CHORDATA,MAMMALIA
3851,Carcharhinus limbatus,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
3852,Carcharhinus obscurus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
3853,Carcharhinus plumbeus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
3854,Carcharias taurus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
3855,Carcharodon carcharias,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
3897,Caretta caretta,VU,ANIMALIA,CHORDATA,REPTILIA
4131,Centropyge resplendens,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
4159,Cephalorhynchus commersonii,LC,ANIMALIA,CHORDATA,MAMMALIA
4160,Cephalorhynchus eutropia,NT,ANIMALIA,CHORDATA,MAMMALIA
4161,Cephalorhynchus heavisidii,NT,ANIMALIA,CHORDATA,MAMMALIA
4162,Cephalorhynchus hectori,EN,ANIMALIA,CHORDATA,MAMMALIA
4292,Cetorhinus maximus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
4360,Chaetodon flavocoronatus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
4361,Chaetodon litus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
4362,Chaetodon marleyi,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
4364,Chaetodon robustus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
4615,Chelonia mydas,EN,ANIMALIA,CHORDATA,REPTILIA
4805,Chromis sanctaehelenae,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
4982,Clinus spatulatus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
5269,Conus africanus,LC,ANIMALIA,MOLLUSCA,GASTROPODA
5270,Conus cepasi,VU,ANIMALIA,MOLLUSCA,GASTROPODA
5272,Conus nobrei,NT,ANIMALIA,MOLLUSCA,GASTROPODA
5273,Conus zebroides,NT,ANIMALIA,MOLLUSCA,GASTROPODA
5325,Emblemariopsis tayrona,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
5668,Crocodylus porosus,LR/lc,ANIMALIA,CHORDATA,REPTILIA
6204,Cystophora cristata,VU,ANIMALIA,CHORDATA,MAMMALIA
6229,Dalatias licha,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
6335,Delphinapterus leucas,LC,ANIMALIA,CHORDATA,MAMMALIA
6336,Delphinus delphis,LC,ANIMALIA,CHORDATA,MAMMALIA
6337,Delphinus capensis,DD,ANIMALIA,CHORDATA,MAMMALIA
6494,Dermochelys coriacea,VU,ANIMALIA,CHORDATA,REPTILIA
6814,Dunckerocampus dactyliophorus,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
6909,Dugong dugon,VU,ANIMALIA,CHORDATA,MAMMALIA
7134,Eleotris sandwicensis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
7135,Eleotris melanosoma,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
7750,Enhydra lutris,EN,ANIMALIA,CHORDATA,MAMMALIA
7778,Entomacrodus cadenati,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
7854,Epinephelus drummondhayi,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
7855,Hyporthodus exsul,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
7858,Epinephelus lanceolatus,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
7859,Epinephelus marginatus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
7860,Hyporthodus nigritus,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
7861,Hyporthodus niveatus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
7862,Epinephelus striatus,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
8005,Eretmochelys imbricata,CR,ANIMALIA,CHORDATA,REPTILIA
8010,Erignathus barbatus,LC,ANIMALIA,CHORDATA,MAMMALIA
8097,Eschrichtius robustus,LC,ANIMALIA,CHORDATA,MAMMALIA
8153,Eubalaena australis,LC,ANIMALIA,CHORDATA,MAMMALIA
8239,Eumetopias jubatus,NT,ANIMALIA,CHORDATA,MAMMALIA
8407,Eurypegasus draconis,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
8408,Eurypegasus papilio,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
8551,Feresa attenuata,LC,ANIMALIA,CHORDATA,MAMMALIA
9249,Globicephala macrorhynchus,LC,ANIMALIA,CHORDATA,MAMMALIA
9250,Globicephala melas,LC,ANIMALIA,CHORDATA,MAMMALIA
9266,Psammogobius biocellatus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
9281,Glyphis gangeticus,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
9461,Grampus griseus,LC,ANIMALIA,CHORDATA,MAMMALIA
9660,Halichoerus grypus,LC,ANIMALIA,CHORDATA,MAMMALIA
10030,Hexanchus griseus,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
10056,Hippocampus capensis,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
10057,Hippocampus abdominalis,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
10060,Hippocampus bargibanti,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
10063,Hippocampus breviceps,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
10064,Hippocampus camelopardalis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
10065,Hippocampus coronatus,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
10066,Hippocampus erectus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
10069,Hippocampus hippocampus,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
10070,Hippocampus histrix,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
10072,Hippocampus ingens,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
10074,Hippocampus jayakari,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
10077,Hippocampus minotaur,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
10082,Hippocampus reidi,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
10083,Hippocampus sindonis,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
10087,Hippocampus trimaculatus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
10088,Hippocampus whitei,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
10089,Hippocampus zosterae,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
10269,Huso huso,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
10340,Hydrurga leptonyx,LC,ANIMALIA,CHORDATA,MAMMALIA
10707,Hyperoodon ampullatus,DD,ANIMALIA,CHORDATA,MAMMALIA
10708,Hyperoodon planifrons,LC,ANIMALIA,CHORDATA,MAMMALIA
10724,Hypoplectrus providencianus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
10939,Jenkinsia parvula,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
11030,Knipowitschia caucasica,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
11047,Kogia breviceps,DD,ANIMALIA,CHORDATA,MAMMALIA
11048,Kogia sima,DD,ANIMALIA,CHORDATA,MAMMALIA
11060,Kuhlia marginata,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
11130,Lachnolaimus maximus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
11140,Lagenodelphis hosei,LC,ANIMALIA,CHORDATA,MAMMALIA
11141,Lagenorhynchus acutus,LC,ANIMALIA,CHORDATA,MAMMALIA
11142,Lagenorhynchus albirostris,LC,ANIMALIA,CHORDATA,MAMMALIA
11143,Lagenorhynchus australis,LC,ANIMALIA,CHORDATA,MAMMALIA
11144,Lagenorhynchus cruciger,LC,ANIMALIA,CHORDATA,MAMMALIA
11145,Lagenorhynchus obliquidens,LC,ANIMALIA,CHORDATA,MAMMALIA
11146,Lagenorhynchus obscurus,LC,ANIMALIA,CHORDATA,MAMMALIA
