kingdom,phylum,class_iucn,iucn_sid,iucn_sciname,iucn_sid_other,redlist_category,am_sid,am_sciname,class_am,am_sid_old
ANIMALIA,Chordata,Mammalia,13654,Neomonachus schauinslandi,NA,EN,ITS-Mam-180661,Monachus schauinslandi,Mammalia,NA
ANIMALIA,Chordata,Mammalia,41665,Otaria byronia,NA,LC,ITS-Mam-180619,Otaria flavescens,Mammalia,NA
ANIMALIA,Cnidaria,Anthozoa,132922,Montastrea curta,NA,LC,URM-Cn-5595,Montastraea curta,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,132936,Favia pallida,NA,LC,SLB-190543,Dipsastraea pallida,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133034,Fungia fragilis,NA,LC,SLB-189121,Cycloseris fragilis,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133102,Dichocoenia stokesii,NA,VU,URM-Cn-5814,Dichocoenia stokesi,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133178,Montastrea annuligera,NA,NT,URM-Cn-5593,Montastraea annuligera,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133201,Fungia scutaria,NA,LC,SLB-190518,Lobactis scutaria,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133308,Fungia scruposa,NA,LC,SLB-190516,Danafungia scruposa,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133407,Pocillopora eydouxi,NA,NT,SLB-189370,Pocillopora grandis,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133435,Seriatopora dendritica,NA,VU,URM-Cn-5988,Seriatopora dentritica,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133564,Isophyllastrea rigida,NA,LC,URM-Cn-5863,Isophyllia rigida,Anthozoa,NA
ANIMALIA,Cnidaria,Anthozoa,133653,Isopora cylindrica,NA,DD,URM-Cn-4732,Acropora cylindrica,Anthozoa,NA
ANIMALIA,Chordata,Actinopterygii,155308,Centropyge loricula,NA,LC,Fis-26704,Centropyge loriculus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,165677,Roa modestus,NA,LC,Fis-34757,Chaetodon modestus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,165858,Centropyge interruptus,NA,LC,Fis-166181,Centropyge interrupta,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,165897,Centropyge nigriocellus,NA,LC,Fis-143222,Centropyge nigriocella,Actinopterygii,NA
ANIMALIA,Arthropoda,Malacostraca,170047,Palinustus mossamicus,NA,DD,ITS-552967,Palinustus mossambicus,Malacostraca,NA
ANIMALIA,Arthropoda,Malacostraca,170097,Justitia longimanus,NA,DD,SLB-190081,Justitia longimana,Malacostraca,NA
ANIMALIA,Chordata,Reptilia,176729,Hydrophis major,NA,LC,SLB-88872,Disteira major,Reptilia,NA
ANIMALIA,Chordata,Actinopterygii,178010,Zebrasoma veliferum,NA,LC,Fis-163883,Zebrasoma velifer,Actinopterygii,NA
ANIMALIA,Echinodermata,Holothuroidea,180436,Parastichopus californicus,NA,LC,W-Hol-529363,Apostichopus californicus,Holothuroidea,NA
ANIMALIA,Arthropoda,Malacostraca,185012,Stereomastis sculpta,NA,LC,ITS-660116,Polycheles sculptus,Malacostraca,NA
ANIMALIA,Chordata,Actinopterygii,187455,Symphodus trutta,NA,LC,Fis-51943,Centrolabrus trutta,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187469,Xyrichtys koteamea,NA,DD,Fis-168180,Novaculops koteamea,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187531,Halichoeres raisneri,NA,DD,Fis-169117,Sagittalarva inornatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187595,Symphodus caeruleus,NA,LC,Fis-139509,Centrolabrus caeruleus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187629,Xyrichtys pastellus,NA,LC,Fis-168179,Novaculops pastellus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187641,Pseudolabrus mortonii,NA,LC,Fis-114118,Pseudolabrus rubicundus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187763,Novaculichthys macrolepidotus,NA,LC,Fis-164874,Novaculoides macrolepidotus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,187782,Xyrichtys halsteadi,NA,LC,Fis-168177,Novaculops halsteadi,Actinopterygii,NA
ANIMALIA,Mollusca,Gastropoda,192440,Conus circumactus,NA,LC,SLB-100648,Conus circumactis,Gastropoda,NA
ANIMALIA,Mollusca,Gastropoda,192697,Conus chiangi,NA,LC,SLB-103803,Taranteconus chiangi,Gastropoda,NA
ANIMALIA,Chordata,Actinopterygii,183214,Doryrhamphus excisus,NA,LC,Fis-31614,Doryrhamphus excisus excisus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,98470072,Alosa pontica,NA,LC,Fis-2,Alosa immaculata,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,118360643,Epinephelus moara,NA,DD,Fis-32305,Epinephelus bruneus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183097,Microphis brachyurus ssp. aculeatus,NA,DD,Fis-58490,Microphis brachyurus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,98471199,Clupea pallasii,NA,DD,Fis-153539,Clupea pallasii pallasii,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,190701,Nicholsina collettei,NA,LC,Fis-166563,Nicholsina usta collettei,Actinopterygii,Fis-52069
ANIMALIA,Chordata,Actinopterygii,46086601,Parupeneus macronemus,NA,LC,Fis-10312,Parupeneus macronemus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,197054,Ellochelon vaigiensis,NA,LC,Fis-10471,Ellochelon vaigiensis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,154647,Coelorinchus occa,NA,LC,Fis-10896,Coelorinchus occa,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183412,Haemulon maculicauda,NA,LC,Fis-10984,Haemulon maculicauda,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183758,Brotula ordwayi,NA,LC,Fis-112194,Brotula ordwayi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183745,Ogilbia deroyi,NA,LC,Fis-112197,Ogilbia deroyi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,60471850,Laemonema robustum,NA,DD,Fis-112702,Laemonema robustum,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,198601,Lepidion guentheri,NA,LC,Fis-112703,Lepidion guentheri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,57453696,Holcomycteronus squamosus,NA,LC,Fis-112710,Holcomycteronus squamosus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178995,Notoclinops caerulepunctus,NA,LC,Fis-112789,Notoclinops caerulepunctus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178965,Notoclinops segmentatus,NA,LC,Fis-112790,Notoclinops segmentatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178993,Cryptichthys jojettae,NA,LC,Fis-112792,Cryptichthys jojettae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178948,Bellapiscis medius,NA,LC,Fis-112793,Bellapiscis medius,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,194872,Gobius ater,NA,LC,Fis-112797,Gobius ater,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178998,Ruanoho decemdigitatus,NA,LC,Fis-112799,Ruanoho decemdigitatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,194873,Gobius bucchichi,NA,LC,Fis-112801,Gobius bucchichi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,198663,Gobius roulei,NA,LC,Fis-112804,Gobius roulei,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,194877,Gobius vittatus,NA,LC,Fis-112805,Gobius vittatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,47147582,Cynoscion similis,NA,LC,Fis-112813,Cynoscion similis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,194846,Echiodon dentatus,NA,LC,Fis-112814,Echiodon dentatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,190433,Pseudoscopelus scriptus,NA,LC,Fis-112823,Pseudoscopelus scriptus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179048,Apopterygion alta,NA,LC,Fis-112833,Apopterygion alta,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178905,Apopterygion oculus,NA,LC,Fis-112843,Apopterygion oculus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179095,Forsterygion malcolmi,NA,LC,Fis-112881,Forsterygion malcolmi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179029,Karalepis stewarti,NA,LC,Fis-112883,Karalepis stewarti,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183251,Ogilbia ventralis,NA,LC,Fis-113153,Ogilbia ventralis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183504,Arcos erythrops,NA,LC,Fis-113158,Arcos erythrops,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183418,Arcos rhodospilus,NA,LC,Fis-113162,Arcos rhodospilus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183250,Gobiesox adustus,NA,LC,Fis-113165,Gobiesox adustus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,69591446,Pseudanthias olivaceus,NA,LC,Fis-113235,Pseudanthias olivaceus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178057,Phthanophaneron harveyi,NA,DD,Fis-113288,Phthanophaneron harveyi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183855,Axoclinus cocoensis,NA,VU,Fis-113302,Axoclinus cocoensis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184009,Axoclinus lucillae,NA,LC,Fis-113313,Axoclinus lucillae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183273,Axoclinus nigricaudus,NA,LC,Fis-113326,Axoclinus nigricaudus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178896,Bellapiscis lesleyae,NA,LC,Fis-113332,Bellapiscis lesleyae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183553,Lonchopisthus sinuscalifornicus,NA,LC,Fis-113384,Lonchopisthus sinuscalifornicus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183211,Eucinostomus dowii,NA,LC,Fis-113413,Eucinostomus dowii,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183419,Apogon retrosella,NA,LC,Fis-113426,Apogon retrosella,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183329,Apogon atricaudus,NA,LC,Fis-113429,Apogon atricaudus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,155327,Crocodilichthys gracilis,NA,LC,Fis-113438,Crocodilichthys gracilis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183408,Enneanectes reticulatus,NA,LC,Fis-113441,Enneanectes reticulatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183280,Lepidonectes clarkhubbsi,NA,LC,Fis-113453,Lepidonectes clarkhubbsi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183521,Dactyloscopus pectoralis,NA,LC,Fis-113462,Dactyloscopus pectoralis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183845,Gillellus arenicola,NA,LC,Fis-113467,Gillellus arenicola,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183838,Gillellus searcheri,NA,LC,Fis-113480,Gillellus searcheri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184012,Gillellus semicinctus,NA,LC,Fis-113495,Gillellus semicinctus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183396,Heteristius cinctus,NA,LC,Fis-113497,Heteristius cinctus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183705,Platygillellus altivelis,NA,NT,Fis-113503,Platygillellus altivelis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183694,Platygillellus bussingi,NA,NT,Fis-113504,Platygillellus bussingi,Actinopterygii,NA
