spp_group,iucn_sid,spatial_source,name_verified,class,sciname,am_sid,am_sciname,reviewed,iucn_id,am_sid_old
MARINE_MAMMALS,2055,iucn,TRUE,Mammalia,Arctocephalus australis,ITS-Mam-180633,Arctocephalus australis,1,2055,NA
MARINE_MAMMALS,2057,iucn,TRUE,Mammalia,Arctocephalus galapagoensis,ITS-Mam-180634,Arctocephalus galapagoensis,1,2057,NA
MARINE_MAMMALS,2058,iucn,TRUE,Mammalia,Arctocephalus gazella,ITS-Mam-180630,Arctocephalus gazella,1,2058,NA
MARINE_MAMMALS,2060,iucn,TRUE,Mammalia,Arctocephalus pusillus,ITS-Mam-180629,Arctocephalus pusillus,1,2060,NA
MARINE_MAMMALS,2061,iucn,TRUE,Mammalia,Arctocephalus townsendi,ITS-Mam-180636,Arctocephalus townsendi,1,2061,NA
MARINE_MAMMALS,2062,iucn,TRUE,Mammalia,Arctocephalus tropicalis,ITS-Mam-180632,Arctocephalus tropicalis,NA,2062,NA
MARINE_MAMMALS,2467,iucn,TRUE,Mammalia,Balaena mysticetus,ITS-Mam-180533,Balaena mysticetus,1,2467,NA
MARINE_MAMMALS,2474,iucn,TRUE,Mammalia,Balaenoptera acutorostrata,ITS-Mam-180524,Balaenoptera acutorostrata,1,2474,NA
MARINE_MAMMALS,2475,iucn,TRUE,Mammalia,Balaenoptera borealis,ITS-Mam-180526,Balaenoptera borealis,1,2475,NA
MARINE_MAMMALS,2476,iucn,TRUE,Mammalia,Balaenoptera edeni,ITS-Mam-180525,Balaenoptera edeni,1,2476,NA
MARINE_MAMMALS,2477,iucn,TRUE,Mammalia,Balaenoptera musculus,ITS-Mam-180528,Balaenoptera musculus,1,2477,NA
MARINE_MAMMALS,2478,iucn,TRUE,Mammalia,Balaenoptera physalus,ITS-Mam-180527,Balaenoptera physalus,1,2478,NA
MARINE_MAMMALS,2480,iucn,TRUE,Mammalia,Balaenoptera bonaerensis,ITS-Mam-612592,Balaenoptera bonaerensis,1,2480,NA
MARINE_MAMMALS,2762,iucn,TRUE,Mammalia,Berardius arnuxii,ITS-Mam-180495,Berardius arnuxii,1,2762,NA
MARINE_MAMMALS,2763,iucn,TRUE,Mammalia,Berardius bairdii,ITS-Mam-180496,Berardius bairdii,1,2763,NA
MARINE_MAMMALS,3590,iucn,TRUE,Mammalia,Callorhinus ursinus,ITS-Mam-180627,Callorhinus ursinus,1,3590,NA
MARINE_MAMMALS,3778,iucn,TRUE,Mammalia,Caperea marginata,ITS-Mam-180535,Caperea marginata,1,3778,NA
REPTILES,3897,iucn,TRUE,Reptilia,Caretta caretta,Rep-2666,Caretta caretta,1,3897,NA
MARINE_MAMMALS,4159,iucn,TRUE,Mammalia,Cephalorhynchus commersonii,ITS-Mam-180449,Cephalorhynchus commersonii,1,4159,NA
MARINE_MAMMALS,4161,iucn,TRUE,Mammalia,Cephalorhynchus heavisidii,ITS-Mam-180451,Cephalorhynchus heavisidii,1,4161,NA
MARINE_MAMMALS,4162,iucn,TRUE,Mammalia,Cephalorhynchus hectori,ITS-Mam-180452,Cephalorhynchus hectori,1,4162,NA
BUTTERFLYFISH,4362,iucn,TRUE,Actinopterygii,Chaetodon marleyi,Fis-32632,Chaetodon marleyi,1,4362,NA
BUTTERFLYFISH,4364,iucn,TRUE,Actinopterygii,Chaetodon robustus,Fis-33809,Chaetodon robustus,1,4364,NA
REPTILES,4615,iucn,TRUE,Reptilia,Chelonia mydas,Rep-2941,Chelonia mydas,1,4615,NA
REPTILES,5659,iucn,TRUE,Reptilia,Crocodylus acutus,Rep-3445,Crocodylus acutus,NA,5659,NA
REPTILES,5668,iucn,TRUE,Reptilia,Crocodylus porosus,Rep-3460,Crocodylus porosus,NA,5668,NA
MARINE_MAMMALS,6204,iucn,TRUE,Mammalia,Cystophora cristata,ITS-Mam-180657,Cystophora cristata,1,6204,NA
MARINE_MAMMALS,6335,iucn,TRUE,Mammalia,Delphinapterus leucas,ITS-Mam-180483,Delphinapterus leucas,1,6335,NA
MARINE_MAMMALS,6336,iucn,TRUE,Mammalia,Delphinus delphis,ITS-Mam-180438,Delphinus delphis,1,6336,NA
MARINE_MAMMALS,6337,iucn,TRUE,Mammalia,Delphinus capensis,ITS-Mam-555654,Delphinus capensis,1,6337,NA
REPTILES,6494,iucn,TRUE,Reptilia,Dermochelys coriacea,Rep-4381,Dermochelys coriacea,1,6494,NA
MARINE_MAMMALS,6909,iucn,TRUE,Mammalia,Dugong dugon,ITS-Mam-180679,Dugong dugon,1,6909,NA
TERRESTRIAL_MAMMALS,7750,iucn,TRUE,Mammalia,Enhydra lutris,ITS-Mam-180547,Enhydra lutris,1,7750,NA
GROUPERS,7854,iucn,TRUE,Actinopterygii,Epinephelus drummondhayi,Fis-29953,Epinephelus drummondhayi,1,7854,NA
GROUPERS,7858,iucn,TRUE,Actinopterygii,Epinephelus lanceolatus,Fis-26139,Epinephelus lanceolatus,1,7858,NA
GROUPERS,7859,iucn,TRUE,Actinopterygii,Epinephelus marginatus,Fis-26140,Epinephelus marginatus,1,7859,NA
GROUPERS,7860,iucn,TRUE,Actinopterygii,Hyporthodus nigritus,Fis-163779,Hyporthodus nigritus,1,7860,NA
GROUPERS,7861,iucn,TRUE,Actinopterygii,Hyporthodus niveatus,Fis-163781,Hyporthodus niveatus,NA,7861,NA
GROUPERS,7862,iucn,TRUE,Actinopterygii,Epinephelus striatus,Fis-22722,Epinephelus striatus,1,7862,NA
REPTILES,8005,iucn,TRUE,Reptilia,Eretmochelys imbricata,Rep-5181,Eretmochelys imbricata,1,8005,NA
MARINE_MAMMALS,8010,iucn,TRUE,Mammalia,Erignathus barbatus,ITS-Mam-180655,Erignathus barbatus,NA,8010,NA
MARINE_MAMMALS,8097,iucn,TRUE,Mammalia,Eschrichtius robustus,ITS-Mam-180521,Eschrichtius robustus,1,8097,NA
MARINE_MAMMALS,8153,iucn,TRUE,Mammalia,Eubalaena australis,ITS-Mam-552771,Eubalaena australis,1,8153,NA
MARINE_MAMMALS,8239,iucn,TRUE,Mammalia,Eumetopias jubatus,ITS-Mam-180625,Eumetopias jubatus,1,8239,NA
MARINE_MAMMALS,8551,iucn,TRUE,Mammalia,Feresa attenuata,ITS-Mam-180461,Feresa attenuata,1,8551,NA
MARINE_MAMMALS,9249,iucn,TRUE,Mammalia,Globicephala macrorhynchus,ITS-Mam-180466,Globicephala macrorhynchus,1,9249,NA
MARINE_MAMMALS,9250,iucn,TRUE,Mammalia,Globicephala melas,ITS-Mam-552461,Globicephala melas,1,9250,NA
MARINE_MAMMALS,9461,iucn,TRUE,Mammalia,Grampus griseus,ITS-Mam-180457,Grampus griseus,1,9461,NA
MARINE_MAMMALS,9660,iucn,TRUE,Mammalia,Halichoerus grypus,ITS-Mam-180653,Halichoerus grypus,1,9660,NA
MARINE_MAMMALS,10340,iucn,TRUE,Mammalia,Hydrurga leptonyx,ITS-Mam-180667,Hydrurga leptonyx,1,10340,NA
MARINE_MAMMALS,10708,iucn,TRUE,Mammalia,Hyperoodon planifrons,ITS-Mam-180505,Hyperoodon planifrons,1,10708,NA
MARINE_MAMMALS,11048,iucn,TRUE,Mammalia,Kogia sima,ITS-Mam-180492,Kogia sima,1,11048,NA
WRASSE,11130,iucn,TRUE,Actinopterygii,Lachnolaimus maximus,Fis-23577,Lachnolaimus maximus,NA,11130,NA
MARINE_MAMMALS,11140,iucn,TRUE,Mammalia,Lagenodelphis hosei,ITS-Mam-180440,Lagenodelphis hosei,1,11140,NA
MARINE_MAMMALS,11141,iucn,TRUE,Mammalia,Lagenorhynchus acutus,ITS-Mam-180443,Lagenorhynchus acutus,1,11141,NA
MARINE_MAMMALS,11142,iucn,TRUE,Mammalia,Lagenorhynchus albirostris,ITS-Mam-180442,Lagenorhynchus albirostris,1,11142,NA
