iucn_spp_group,iucn_sid,class,iucn_sciname,am_sid,am_sciname,am_reviewed,am_sid_old,kingdom,redlist_category,iucn_sid_other
SEABREAMS_PORGIES,47166659,Actinopterygii,Acanthopagrus arabicus,Fis-169282,Acanthopagrus arabicus,NA,NA,ANIMALIA,LC,47166659
WRASSE,190701,Actinopterygii,Nicholsina collettei,Fis-166563,Nicholsina usta collettei,NA,Fis-52069,ANIMALIA,LC,190701
MARINE_MAMMALS,20424,Mammalia,Sousa chinensis,ITS-Mam-180419,Sousa chinensis,1,ITS-180419,ANIMALIA,VU,20424
MARINE_MAMMALS,4160,Mammalia,Cephalorhynchus eutropia,ITS-Mam-180450,Cephalorhynchus eutropia,1,ITS-180450,ANIMALIA,NT,4160
MARINE_MAMMALS,2059,Mammalia,Arctocephalus philippii,ITS-Mam-180635,Arctocephalus philippii,1,ITS-180635,ANIMALIA,LC,2059
LOBSTERS,170048,Malacostraca,Palinustus waguensis,SLB-11556,Palinustus waguensis,NA,ITS-552969,ANIMALIA,LC,170048
MARINE_MAMMALS,41759,Mammalia,Mesoplodon perrini,ITS-Mam-612599,Mesoplodon perrini,1,ITS-612599,ANIMALIA,DD,41759
MARINE_MAMMALS,2055,Mammalia,Arctocephalus australis,ITS-Mam-180633,Arctocephalus australis,1,NA,ANIMALIA,LC,2055
MARINE_MAMMALS,2057,Mammalia,Arctocephalus galapagoensis,ITS-Mam-180634,Arctocephalus galapagoensis,1,NA,ANIMALIA,EN,2057
MARINE_MAMMALS,2058,Mammalia,Arctocephalus gazella,ITS-Mam-180630,Arctocephalus gazella,1,NA,ANIMALIA,LC,2058
MARINE_MAMMALS,2060,Mammalia,Arctocephalus pusillus,ITS-Mam-180629,Arctocephalus pusillus,1,NA,ANIMALIA,LC,2060
MARINE_MAMMALS,2061,Mammalia,Arctocephalus townsendi,ITS-Mam-180636,Arctocephalus townsendi,1,NA,ANIMALIA,LC,2061
MARINE_MAMMALS,2062,Mammalia,Arctocephalus tropicalis,ITS-Mam-180632,Arctocephalus tropicalis,NA,NA,ANIMALIA,LC,2062
MARINE_MAMMALS,2467,Mammalia,Balaena mysticetus,ITS-Mam-180533,Balaena mysticetus,1,NA,ANIMALIA,LC,2468
MARINE_MAMMALS,2474,Mammalia,Balaenoptera acutorostrata,ITS-Mam-180524,Balaenoptera acutorostrata,1,NA,ANIMALIA,LC,2474
MARINE_MAMMALS,2475,Mammalia,Balaenoptera borealis,ITS-Mam-180526,Balaenoptera borealis,1,NA,ANIMALIA,EN,2475
MARINE_MAMMALS,2476,Mammalia,Balaenoptera edeni,ITS-Mam-180525,Balaenoptera edeni,1,NA,ANIMALIA,LC,2476
MARINE_MAMMALS,2477,Mammalia,Balaenoptera musculus,ITS-Mam-180528,Balaenoptera musculus,1,NA,ANIMALIA,EN,2477
MARINE_MAMMALS,2478,Mammalia,Balaenoptera physalus,ITS-Mam-180527,Balaenoptera physalus,1,NA,ANIMALIA,VU,2478
